,day,month,year,hour,minute,Acedamic_Eco_1,Library_Eco_1,Acedamic_Eco_2,Library_Eco_2,Acedamic_Eco_3,l_Acedamic_Symo,temperature ,humidity ,wind_speed ,visibility
0,1,10,2017,6,30,0.49,1.25,0.47,1.23,0.54,0.3,50.0,50.0,0.0,1.9
1,1,10,2017,8,30,12.51,14.34,12.84,14.23,12.99,6.68,30.0,30.0,0.0,1.0
2,1,10,2017,9,30,17.66,18.88,17.7,18.93,17.79,9.08,26.0,26.0,0.0,2.2
3,1,10,2017,11,0,23.27,23.35,23.27,22.42,23.3,11.85,26.0,26.0,14.8,3.1
4,1,10,2017,11,30,23.3,23.7,23.42,23.37,23.55,11.98,15.0,15.0,5.6,2.0
5,1,10,2017,12,30,24.15,23.74,24.24,22.72,24.26,12.41,22.0,22.0,13.0,3.7
6,1,10,2017,13,0,22.9,22.95,22.85,22.63,22.94,11.73,22.0,22.0,9.3,3.7
7,1,10,2017,13,30,21.99,21.03,22.0,20.88,21.91,11.31,17.0,17.0,9.3,3.7
8,1,10,2017,14,0,20.52,19.77,20.54,19.83,20.53,10.54,15.0,15.0,13.0,3.7
9,1,10,2017,14,30,18.81,17.82,18.85,17.77,18.83,9.61,10.0,10.0,9.3,2.0
10,1,10,2017,14,30,18.81,17.82,18.85,17.77,18.83,9.61,15.0,15.0,9.3,3.7
11,1,10,2017,15,0,16.73,15.46,16.81,15.43,16.78,8.58,15.0,15.0,13.0,3.7
12,1,10,2017,15,30,13.93,12.59,14.02,12.61,14.03,7.12,15.0,15.0,9.3,3.7
13,1,10,2017,16,0,10.59,9.46,10.7,9.38,10.69,5.45,16.0,16.0,11.1,3.7
14,1,10,2017,16,30,7.42,5.87,7.47,5.61,7.46,3.51,18.0,18.0,13.0,3.7
15,1,10,2017,17,0,3.99,2.77,4.07,2.24,4.07,1.56,18.0,18.0,7.4,3.7
16,1,10,2017,17,30,1.21,0.62,1.38,0.54,1.28,0.59,11.0,11.0,7.4,2.0
17,1,10,2017,17,30,1.21,0.62,1.38,0.54,1.28,0.59,19.0,19.0,7.4,3.7
18,2,10,2017,7,30,6.05,9.04,7.25,9.02,7.22,3.71,39.0,39.0,0.0,1.9
19,2,10,2017,8,30,12.02,15.38,12.25,15.36,12.22,7.61,25.0,25.0,9.3,2.0
20,2,10,2017,8,30,12.02,15.38,12.25,15.36,12.22,7.61,33.0,33.0,9.3,2.5
21,2,10,2017,9,30,18.99,19.93,18.95,19.82,19.07,9.91,27.0,27.0,11.1,2.5
22,2,10,2017,10,30,22.02,22.24,21.9,22.19,21.91,11.42,28.0,28.0,11.1,3.1
