day,month,year,hour,minute,temperature ,humidity ,wind_speed ,visibility
1,10,2017,0,0,29,29,5.6,1.9
1,10,2017,2,30,26,26,0,1
1,10,2017,5,0,47,47,0,1.9
1,10,2017,5,30,40,40,0,1
1,10,2017,6,30,50,50,0,1.9
1,10,2017,8,30,30,30,0,1
1,10,2017,9,30,26,26,0,2.2
1,10,2017,11,0,26,26,14.8,3.1
1,10,2017,11,30,15,15,5.6,2
1,10,2017,12,30,22,22,13,3.7
1,10,2017,13,0,22,22,9.3,3.7
1,10,2017,13,30,17,17,9.3,3.7
1,10,2017,14,0,15,15,13,3.7
1,10,2017,14,30,10,10,9.3,2
1,10,2017,14,30,15,15,9.3,3.7
1,10,2017,15,0,15,15,13,3.7
1,10,2017,15,30,15,15,9.3,3.7
1,10,2017,16,0,16,16,11.1,3.7
1,10,2017,16,30,18,18,13,3.7
1,10,2017,17,0,18,18,7.4,3.7
1,10,2017,17,30,11,11,7.4,2
1,10,2017,17,30,19,19,7.4,3.7
1,10,2017,18,30,21,21,5.6,2.5
1,10,2017,19,30,24,24,7.4,1.9
1,10,2017,20,0,26,26,9.3,1.9
1,10,2017,20,30,15,15,3.7,1
1,10,2017,20,30,26,26,5.6,1.9
1,10,2017,21,30,25,25,5.6,1.9
1,10,2017,22,0,25,25,7.4,1.9
1,10,2017,23,0,24,24,9.3,1.9
1,10,2017,23,30,17,17,7.4,1
2,10,2017,0,0,29,29,1.9,1.9
2,10,2017,2,30,28,28,0,1
2,10,2017,3,30,35,35,1.9,1.9
2,10,2017,4,0,35,35,1.9,1.9
2,10,2017,4,30,39,39,0,1.9
2,10,2017,5,0,42,42,0,1.9
2,10,2017,5,30,35,35,0,1
2,10,2017,5,30,37,37,0,1.9
2,10,2017,7,30,39,39,0,1.9
2,10,2017,8,30,25,25,9.3,2
2,10,2017,8,30,33,33,9.3,2.5
2,10,2017,9,30,27,27,11.1,2.5
2,10,2017,10,30,28,28,11.1,3.1
2,10,2017,11,0,26,26,13,3.1
2,10,2017,11,30,15,15,11.1,2
2,10,2017,11,30,23,23,13,3.1
2,10,2017,13,0,18,18,9.3,3.1
2,10,2017,13,30,17,17,11.1,3.1
2,10,2017,14,0,14,14,7.4,3.1
2,10,2017,14,30,11,11,9.3,2
2,10,2017,15,0,15,15,5.6,3.1
2,10,2017,15,30,16,16,1.9,3.1
2,10,2017,16,30,15,15,9.3,3.1
2,10,2017,17,30,11,11,9.3,2
