Day,Month,Year,Hour,Minute,Acedamic_Eco_1,Library_Eco_1,Acedamic_Eco_2,Library_Eco_2,Acedamic_Eco_3,l_Acedamic_Symo,
1,3,2018,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,0,5,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,0,10,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,0,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,0,20,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,0,25,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,0,30,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,0,35,0.0,0.01,0.0,0.0,0.0,0.0,
1,3,2018,0,40,0.0,0.16,0.0,0.16,0.0,0.0,
1,3,2018,0,45,0.0,0.29,0.0,0.28,0.0,0.0,
1,3,2018,0,50,0.05,0.51,0.06,0.51,0.08,0.03,
1,3,2018,0,55,0.22,0.81,0.22,0.8,0.24,0.1,
1,3,2018,1,0,0.38,1.14,0.39,1.14,0.41,0.18,
1,3,2018,1,5,0.64,1.26,0.64,1.25,0.67,0.32,
1,3,2018,1,10,0.94,2.03,0.93,2.02,1.0,0.49,
1,3,2018,1,15,1.09,2.69,1.06,2.68,1.2,0.61,
1,3,2018,1,20,1.44,3.07,1.43,3.07,1.56,0.78,
1,3,2018,1,25,1.96,3.48,1.93,3.49,2.3,1.17,
1,3,2018,1,30,2.2,3.8,2.16,3.82,2.65,1.33,
1,3,2018,1,35,2.42,3.74,2.38,3.74,3.01,1.5,
1,3,2018,1,40,2.61,4.8,2.54,4.79,3.31,1.67,
1,3,2018,1,45,2.67,6.11,2.57,6.11,3.34,1.67,
1,3,2018,1,50,3.16,7.38,3.15,7.37,3.81,1.9,
1,3,2018,1,55,4.48,6.07,4.52,6.06,5.24,2.58,
1,3,2018,2,0,5.55,5.02,5.87,4.99,6.54,3.15,
1,3,2018,2,5,6.09,5.38,6.5,5.37,7.06,3.39,
1,3,2018,2,10,4.62,8.25,4.85,8.2,5.15,2.48,
1,3,2018,2,15,4.68,8.57,5.0,8.52,5.27,2.58,
1,3,2018,2,20,5.62,9.55,6.18,9.54,6.46,3.26,
1,3,2018,2,25,7.83,8.28,8.67,8.25,8.99,4.6,
1,3,2018,2,30,7.67,9.27,8.35,9.22,8.62,4.36,
1,3,2018,2,35,8.54,9.63,9.29,9.58,9.53,4.88,
1,3,2018,2,40,7.12,12.08,7.61,12.06,7.86,3.94,
1,3,2018,2,45,8.97,11.44,9.56,11.4,9.82,5.02,
1,3,2018,2,50,9.82,13.78,10.3,13.82,10.56,5.34,
1,3,2018,2,55,11.05,14.91,11.45,14.97,11.73,5.94,
1,3,2018,3,0,12.2,13.68,12.43,13.7,12.71,6.4,
