Day,Month,Year,Hour,Minute,Acedamic_Eco_1,Library_Eco_1,Acedamic_Eco_2,Library_Eco_2,Acedamic_Eco_3,l_Acedamic_Symo,
1,3,2018,0,0,19.11,14.36,19.08,14.27,19.14,9.78,
1,3,2018,0,5,16.54,15.75,16.47,15.68,16.51,8.43,
1,3,2018,0,10,12.76,18.55,12.74,12.28,12.84,6.52,
1,3,2018,0,15,16.21,16.86,16.28,16.81,16.38,8.28,
1,3,2018,0,20,17.44,17.12,17.58,17.1,17.64,8.95,
1,3,2018,0,25,16.81,20.43,16.83,20.37,16.94,8.56,
1,3,2018,0,30,17.36,20.06,17.35,19.53,17.44,8.86,
1,3,2018,0,35,18.44,24.25,18.49,16.02,18.52,9.44,
1,3,2018,0,40,19.01,22.41,19.02,10.92,18.91,9.84,
1,3,2018,0,45,23.6,22.13,23.72,4.73,23.62,12.15,
1,3,2018,0,50,23.09,23.96,23.17,1.46,22.89,11.85,
1,3,2018,0,55,22.45,23.78,22.5,0.77,22.49,11.51,
1,3,2018,1,0,22.43,22.78,22.73,6.73,22.75,11.63,
1,3,2018,1,5,24.31,22.84,24.29,7.66,24.19,12.54,
1,3,2018,1,10,22.74,22.55,23.42,9.74,23.51,12.16,
1,3,2018,1,15,23.03,22.64,22.83,0.21,22.94,11.95,
1,3,2018,1,20,21.95,22.27,21.75,0.28,21.94,11.34,
1,3,2018,1,25,23.7,22.64,23.46,2.62,23.7,12.31,
1,3,2018,1,30,22.98,22.22,22.76,0.67,22.88,11.97,
1,3,2018,1,35,22.51,21.23,22.38,0.57,22.56,11.78,
1,3,2018,1,40,22.59,22.16,22.4,1.79,22.66,11.75,
1,3,2018,1,45,21.8,20.49,21.6,7.69,21.83,11.4,
1,3,2018,1,50,22.12,21.38,21.88,0.92,22.05,11.62,
1,3,2018,1,55,21.12,15.43,21.05,13.54,21.12,11.1,
1,3,2018,2,0,21.66,15.11,21.61,7.67,21.61,11.33,
1,3,2018,2,5,18.76,21.78,18.59,0.59,18.74,9.7,
1,3,2018,2,10,17.99,21.56,17.96,1.81,18.05,9.27,
1,3,2018,2,15,22.81,20.11,22.57,4.09,22.86,11.76,
1,3,2018,2,20,21.92,18.07,21.71,9.02,21.41,11.32,
1,3,2018,2,25,21.06,15.9,20.84,6.42,21.17,10.84,
1,3,2018,2,30,18.23,18.27,18.08,10.15,18.24,9.41,
1,3,2018,2,35,22.07,13.35,21.93,13.01,22.14,11.35,
1,3,2018,2,40,20.32,11.7,20.26,11.37,20.44,10.47,
1,3,2018,2,45,15.38,19.02,15.28,6.03,15.5,7.82,
1,3,2018,2,50,12.45,14.43,11.99,14.06,12.46,6.33,
1,3,2018,2,55,14.13,11.63,14.23,11.47,14.28,7.25,
1,3,2018,3,0,16.68,8.21,16.59,8.12,16.69,8.44,
1,3,2018,3,5,14.49,18.11,14.51,7.08,14.59,7.36,
1,3,2018,3,10,8.92,21.21,8.89,0.15,9.0,4.49,
1,3,2018,3,15,12.7,14.13,12.75,13.29,12.81,6.5,
1,3,2018,3,20,21.23,14.23,21.34,14.12,21.4,10.78,
1,3,2018,3,25,17.74,13.57,17.77,13.4,17.97,8.93,
1,3,2018,3,30,12.18,17.03,12.3,17.0,12.3,6.3,
1,3,2018,3,35,14.89,20.04,14.93,19.79,14.99,7.59,
1,3,2018,3,40,13.36,16.06,13.42,15.91,13.47,6.81,
1,3,2018,3,45,20.63,16.68,20.66,16.56,20.75,10.5,
1,3,2018,3,50,17.76,16.27,17.77,16.45,17.86,9.05,
1,3,2018,3,55,16.01,16.03,16.14,15.92,16.14,8.22,
1,3,2018,4,0,16.62,8.53,16.74,8.42,16.73,8.48,
1,3,2018,4,5,15.84,5.57,15.98,5.48,16.02,8.03,
1,3,2018,4,10,13.11,5.9,13.22,5.81,13.36,6.55,
1,3,2018,4,15,5.56,6.07,5.55,5.98,5.61,2.8,
1,3,2018,4,20,5.75,4.86,5.75,4.8,5.83,2.91,
1,3,2018,4,25,6.18,6.15,6.31,6.07,6.43,3.13,
1,3,2018,4,30,5.11,11.82,5.12,11.72,5.18,2.59,
1,3,2018,4,35,4.9,10.25,4.94,10.02,4.98,2.49,
1,3,2018,4,40,9.64,8.0,9.84,7.81,9.83,4.91,
1,3,2018,4,45,11.21,7.31,11.36,7.11,11.36,5.72,
1,3,2018,4,50,8.05,6.91,8.05,6.75,8.13,4.07,
1,3,2018,4,55,8.29,9.1,8.29,8.88,8.38,4.17,
1,3,2018,5,0,6.72,6.94,6.73,6.75,6.8,3.35,
1,3,2018,5,5,8.5,7.11,8.66,6.82,8.72,4.25,
1,3,2018,5,10,7.14,6.46,7.28,6.16,7.33,3.57,
1,3,2018,5,15,7.07,6.0,7.35,5.62,7.4,3.48,
1,3,2018,5,20,6.4,5.41,6.65,5.03,6.7,3.11,
1,3,2018,5,25,5.9,4.75,6.21,4.36,6.28,2.88,
1,3,2018,5,30,5.24,4.4,5.61,3.99,5.65,2.53,
1,3,2018,5,35,4.73,3.89,5.06,3.51,5.09,2.27,
1,3,2018,5,40,4.23,2.51,4.59,2.36,4.63,2.02,
1,3,2018,5,45,3.78,1.98,4.15,1.84,4.18,1.77,
1,3,2018,5,50,2.95,2.05,3.17,1.89,3.2,1.39,
1,3,2018,5,55,1.97,1.92,2.0,1.79,2.04,0.97,
1,3,2018,6,0,1.95,1.74,2.03,1.64,2.06,0.91,
1,3,2018,6,5,1.91,1.55,1.97,1.48,1.99,0.9,
1,3,2018,6,10,1.77,1.14,1.81,1.11,1.82,0.85,
1,3,2018,6,15,1.59,0.66,1.62,0.65,1.64,0.77,
1,3,2018,6,20,1.34,0.29,1.35,0.28,1.37,0.65,
1,3,2018,6,25,0.86,0.13,0.86,0.12,0.89,0.42,
1,3,2018,6,30,0.41,0.05,0.4,0.05,0.43,0.19,
1,3,2018,6,35,0.18,0.0,0.17,0.01,0.2,0.08,
1,3,2018,6,40,0.07,0.0,0.07,0.0,0.1,0.04,
1,3,2018,6,45,0.01,0.0,0.01,0.0,0.03,0.01,
1,3,2018,6,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,6,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,5,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,10,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,20,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,25,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,30,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,35,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,40,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,45,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,7,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,5,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,10,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,20,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,25,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,30,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,35,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,40,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,45,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,8,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,5,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,10,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,20,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,25,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,30,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,35,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,40,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,45,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,9,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,5,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,10,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,20,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,25,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,30,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,35,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,40,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,45,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,10,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,5,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,10,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,20,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,25,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,30,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,35,0.0,0.0,0.0,0.0,0.0,0.0,
1,3,2018,11,40,0.0,0.0,0.0,0.0,0.0,0.0,
