day, month ,year ,hour ,minute ,temperature ,humidity ,wind_speed ,visibility,
01,12,2017,00,00,33,33,7.4,1.2,
01,12,2017,02,30,42,42,0.0,1.2,
01,12,2017,04,00,42,42,0.0,1.2,
01,12,2017,04,30,48,48,0.0,1.2,
01,12,2017,05,30,51,51,0.0,1,
01,12,2017,06,00,51,51,0.0,1.2,
01,12,2017,06,30,51,51,0.0,1.2,
01,12,2017,07,00,51,51,1.9,1.2,
01,12,2017,08,00,45,45,1.9,1.1,
01,12,2017,08,30,33,33,7.4,1,
01,12,2017,08,30,40,40,7.4,1.1,
01,12,2017,10,30,29,29,14.8,1.2,
01,12,2017,11,00,28,28,13.0,1.2,
01,12,2017,11,30,23,23,14.8,1,
01,12,2017,12,00,24,24,11.1,1.6,
01,12,2017,12,30,26,26,9.3,1.9,
01,12,2017,14,00,21,21,3.7,1.9,
01,12,2017,14,30,10,10,9.3,2,
01,12,2017,15,00,18,18,3.7,2.5,
01,12,2017,15,30,17,17,3.7,2.5,
01,12,2017,17,30,15,15,3.7,2,
01,12,2017,17,30,24,24,5.6,2.5,
01,12,2017,18,00,29,29,0.0,1.6,
01,12,2017,18,30,33,33,0.0,1.6,
01,12,2017,19,00,37,37,0.0,1.6,
01,12,2017,19,30,37,37,0.0,1.6,
01,12,2017,20,30,28,28,0.0,1,
01,12,2017,20,30,37,37,0.0,1.6,
01,12,2017,21,00,42,42,0.0,1.2,
01,12,2017,21,30,40,40,1.9,1.2,
01,12,2017,22,00,35,35,7.4,1.2,
01,12,2017,23,00,35,35,9.3,1.2,
02,12,2017,00,00,32,32,9.3,1.2,
02,12,2017,00,30,34,34,7.4,1.2,
02,12,2017,01,30,34,34,7.4,1.2,
02,12,2017,02,30,30,30,5.6,1,
02,12,2017,03,30,37,37,7.4,1.2,
02,12,2017,05,00,39,39,5.6,1.2,
02,12,2017,05,30,31,31,3.7,1,
02,12,2017,05,30,39,39,7.4,1.2,
02,12,2017,06,00,39,39,7.4,1.2,
02,12,2017,06,30,39,39,7.4,1.2,
02,12,2017,07,00,39,39,7.4,1.2,
02,12,2017,07,30,37,37,9.3,1.2,
02,12,2017,08,00,34,34,11.1,1.6,
02,12,2017,08,30,30,30,9.3,1,
02,12,2017,09,00,30,30,11.1,2.2,
02,12,2017,09,30,30,30,13.0,2.2,
02,12,2017,10,00,28,28,13.0,2.2,
02,12,2017,10,30,29,29,13.0,2.2,
02,12,2017,11,00,29,29,11.1,2.5,
02,12,2017,11,30,20,20,9.3,1,
02,12,2017,11,30,27,27,11.1,2.5,
02,12,2017,12,00,25,25,11.1,2.5,
02,12,2017,13,00,21,21,9.3,2.5,
02,12,2017,13,30,20,20,9.3,2.5,
02,12,2017,14,30,14,14,11.1,1,
02,12,2017,14,30,19,19,11.1,2.5,
02,12,2017,15,00,18,18,1.9,2.5,
02,12,2017,16,00,21,21,5.6,2.5,
02,12,2017,17,00,21,21,1.9,2.5,
02,12,2017,17,30,23,23,5.6,1,
02,12,2017,17,30,25,25,5.6,2.5,
02,12,2017,18,00,31,31,0.0,2.5,
02,12,2017,18,30,33,33,0.0,1.9,
02,12,2017,19,00,35,35,0.0,1.9,
02,12,2017,19,30,40,40,0.0,1.6,
02,12,2017,20,00,42,42,0.0,1.6,
02,12,2017,20,30,32,32,0.0,1,
02,12,2017,20,30,42,42,0.0,1.2,
02,12,2017,21,30,42,42,0.0,1.2,
02,12,2017,22,00,45,45,0.0,1.2,
02,12,2017,23,30,43,43,0.0,1,
03,12,2017,00,00,45,45,0.0,1.2,
03,12,2017,00,30,48,48,0.0,1.2,
03,12,2017,01,00,51,51,13.0,1.2,
03,12,2017,01,30,42,42,5.6,1.2,
03,12,2017,02,00,42,42,5.6,1.2,
03,12,2017,02,30,42,42,9.3,1,
03,12,2017,02,30,42,42,5.6,1.2,
03,12,2017,03,00,39,39,1.9,1.2,
03,12,2017,04,30,39,39,7.4,1.2,
03,12,2017,05,30,31,31,7.4,1,
03,12,2017,05,30,42,42,5.6,1.2,
03,12,2017,06,30,48,48,5.6,1.2,
03,12,2017,07,00,48,48,7.4,1.2,
03,12,2017,08,00,42,42,5.6,1.2,
03,12,2017,08,30,34,34,7.4,1,
03,12,2017,08,30,37,37,7.4,1.2,
03,12,2017,09,00,35,35,9.3,1.2,
03,12,2017,09,30,31,31,11.1,1.2,
03,12,2017,10,00,29,29,9.3,1.2,
03,12,2017,10,30,27,27,7.4,1.2,
03,12,2017,11,30,16,16,7.4,1,
03,12,2017,11,30,25,25,9.3,1.9,
03,12,2017,12,00,24,24,9.3,1.9,
