day, month ,year ,hour ,minute ,temperature ,humidity ,wind_speed ,visibility,
01,02,2018,00,00,45,45,0.0,1.2,
01,02,2018,00,30,45,45,5.6,1.2,
01,02,2018,01,00,45,45,5.6,1.2,
01,02,2018,01,30,37,37,5.6,1.2,
01,02,2018,02,00,42,42,0.0,1.2,
01,02,2018,02,30,31,31,0.0,1,
01,02,2018,03,30,45,45,0.0,1.2,
01,02,2018,04,30,51,51,0.0,1.2,
01,02,2018,05,30,45,45,0.0,1,
01,02,2018,05,30,55,55,0.0,1.2,
01,02,2018,06,00,55,55,0.0,1.2,
01,02,2018,07,30,59,59,3.7,0.7,
01,02,2018,08,30,52,52,0.0,1,
01,02,2018,08,30,49,49,0.0,0.6,
01,02,2018,09,00,38,38,0.0,0.7,
01,02,2018,10,00,24,24,3.7,1.2,
01,02,2018,10,30,24,24,5.6,1.2,
01,02,2018,11,00,21,21,9.3,1.6,
01,02,2018,11,30,13,13,9.3,1,
01,02,2018,11,30,21,21,11.1,1.9,
01,02,2018,12,30,19,19,7.4,3.1,
01,02,2018,13,00,17,17,9.3,3.1,
01,02,2018,13,30,15,15,9.3,3.1,
01,02,2018,14,00,15,15,13.0,3.1,
01,02,2018,14,30,9,9,9.3,2,
01,02,2018,14,30,14,14,13.0,3.1,
01,02,2018,15,00,15,15,20.4,3.1,
01,02,2018,15,30,15,15,16.7,3.1,
01,02,2018,16,00,16,16,13.0,3.1,
01,02,2018,17,00,14,14,14.8,3.7,
01,02,2018,17,30,9,9,7.4,2,
01,02,2018,17,30,16,16,9.3,3.7,
01,02,2018,18,00,18,18,3.7,3.1,
01,02,2018,18,30,21,21,3.7,3.1,
01,02,2018,19,00,24,24,0.0,2.5,
01,02,2018,19,30,25,25,0.0,1.6,
01,02,2018,20,00,31,31,0.0,1.6,
01,02,2018,20,30,21,21,0.0,1,
01,02,2018,20,30,33,33,0.0,1.6,
01,02,2018,21,00,33,33,0.0,1.6,
01,02,2018,22,00,35,35,0.0,1.6,
01,02,2018,22,30,37,37,0.0,1.6,
01,02,2018,23,00,35,35,0.0,1.6,
01,02,2018,23,30,28,28,0.0,1,
02,02,2018,00,00,40,40,0.0,1.6,
02,02,2018,00,30,40,40,0.0,1.6,
02,02,2018,02,30,37,37,0.0,1,
02,02,2018,04,30,55,55,5.6,1.6,
02,02,2018,05,30,46,46,5.6,1,
02,02,2018,06,30,45,45,0.0,1.2,
02,02,2018,07,30,55,55,0.0,1.2,
02,02,2018,08,00,48,48,1.9,0.9,
02,02,2018,08,30,41,41,0.0,1,
02,02,2018,08,30,48,48,0.0,0.8,
02,02,2018,09,00,37,37,1.9,0.9,
02,02,2018,09,30,38,38,1.9,1.0,
02,02,2018,10,30,31,31,5.6,1.2,
02,02,2018,11,30,24,24,7.4,1,
02,02,2018,11,30,28,28,7.4,1.6,
02,02,2018,12,00,24,24,7.4,1.6,
02,02,2018,12,30,24,24,7.4,1.9,
02,02,2018,13,00,23,23,7.4,1.9,
02,02,2018,13,30,21,21,3.7,2.5,
