day, month ,year ,hour ,minute ,temperature ,humidity ,wind_speed ,visibility,
01,01,2018,00,00,67,67,9.3,1.2,
01,01,2018,00,30,67,67,5.6,1.2,
01,01,2018,01,00,67,67,5.6,1.2,
01,01,2018,01,30,67,67,5.6,1.2,
01,01,2018,02,00,72,72,5.6,1.2,
01,01,2018,02,30,67,67,3.7,1,
01,01,2018,02,30,67,67,5.6,1.2,
01,01,2018,03,00,63,63,5.6,1.2,
01,01,2018,03,30,63,63,3.7,1.2,
01,01,2018,04,00,71,71,0.0,1.2,
01,01,2018,04,30,72,72,3.7,1.2,
01,01,2018,05,00,72,72,1.9,1.2,
01,01,2018,05,30,75,75,0.0,1,
01,01,2018,06,00,87,87,0.0,1.2,
01,01,2018,06,30,87,87,0.0,1.2,
01,01,2018,08,30,70,70,0.0,1,
01,01,2018,09,00,63,63,0.0,0.8,
01,01,2018,09,30,52,52,0.0,1.0,
01,01,2018,11,00,43,43,5.6,1.2,
01,01,2018,11,30,37,37,0.0,1,
01,01,2018,12,00,43,43,7.4,1.2,
01,01,2018,13,00,38,38,13.0,1.6,
01,01,2018,13,30,33,33,13.0,1.6,
01,01,2018,14,00,22,22,13.0,1.6,
01,01,2018,14,30,16,16,9.3,1,
01,01,2018,15,00,17,17,11.1,1.9,
01,01,2018,16,00,20,20,9.3,1.9,
01,01,2018,16,30,23,23,9.3,1.9,
01,01,2018,17,00,25,25,7.4,1.9,
01,01,2018,17,30,16,16,9.3,1,
01,01,2018,17,30,26,26,5.6,1.6,
01,01,2018,18,00,26,26,3.7,1.2,
01,01,2018,18,30,28,28,1.9,1.2,
01,01,2018,19,00,34,34,0.0,1.2,
01,01,2018,19,30,37,37,0.0,1.2,
01,01,2018,20,00,37,37,0.0,1.2,
01,01,2018,20,30,32,32,0.0,1,
01,01,2018,20,30,42,42,0.0,1.2,
01,01,2018,21,30,51,51,0.0,1.2,
01,01,2018,23,00,62,62,0.0,1.2,
01,01,2018,23,30,51,51,0.0,1,
02,01,2018,00,00,67,67,0.0,1.2,
02,01,2018,00,30,67,67,0.0,1.2,
02,01,2018,01,30,71,71,0.0,1.2,
02,01,2018,02,00,76,76,0.0,1.2,
02,01,2018,02,30,68,68,0.0,1,
02,01,2018,02,30,76,76,0.0,1.2,
02,01,2018,03,00,82,82,0.0,1.2,
02,01,2018,03,30,76,76,0.0,1.2,
02,01,2018,04,30,82,82,0.0,1.2,
02,01,2018,05,00,87,87,0.0,1.2,
02,01,2018,05,30,89,89,0.0,1,
02,01,2018,05,30,87,87,0.0,1.2,
02,01,2018,06,30,93,93,0.0,1.2,
02,01,2018,07,00,87,87,0.0,0.9,
02,01,2018,07,30,93,93,0.0,0.7,
02,01,2018,08,00,93,93,0.0,0.7,
02,01,2018,08,30,69,69,0.0,1,
02,01,2018,08,30,88,88,0.0,0.7,
02,01,2018,09,00,67,67,0.0,0.7,
02,01,2018,09,30,45,45,0.0,0.9,
02,01,2018,10,00,39,39,0.0,1.0,
02,01,2018,11,00,35,35,0.0,1.2,
02,01,2018,11,30,21,21,0.0,1,
02,01,2018,11,30,30,30,0.0,1.2,
02,01,2018,12,30,30,30,1.9,1.2,
02,01,2018,13,00,31,31,1.9,1.2,
02,01,2018,13,30,28,28,1.9,1.2,
02,01,2018,14,00,28,28,0.0,1.6,
02,01,2018,14,30,24,24,0.0,1,
02,01,2018,14,30,27,27,0.0,1.6,
02,01,2018,15,00,27,27,0.0,1.6,
02,01,2018,16,00,25,25,1.9,1.6,
02,01,2018,16,30,25,25,0.0,1.6,
02,01,2018,17,00,28,28,0.0,1.9,
02,01,2018,17,30,21,21,0.0,1,
02,01,2018,17,30,30,30,0.0,1.9,
02,01,2018,18,00,35,35,0.0,1.6,
02,01,2018,18,30,37,37,0.0,1.6,
02,01,2018,19,00,39,39,0.0,1.6,
02,01,2018,20,00,48,48,5.6,1.2,
02,01,2018,20,30,39,39,3.7,1,
02,01,2018,20,30,48,48,7.4,1.2,
02,01,2018,21,00,51,51,3.7,1.2,
02,01,2018,21,30,51,51,0.0,1.2,
02,01,2018,22,00,58,58,0.0,1.2,
02,01,2018,22,30,54,54,0.0,-9999.0,
02,01,2018,23,30,45,45,0.0,1,
03,01,2018,00,00,58,58,0.0,1.2,
03,01,2018,00,30,62,62,0.0,1.2,
03,01,2018,01,00,62,62,0.0,1.2,
03,01,2018,02,00,62,62,0.0,1.2,
03,01,2018,02,30,59,59,0.0,1,
03,01,2018,03,00,71,71,0.0,1.2,
03,01,2018,05,00,76,76,0.0,1.2,
03,01,2018,05,30,67,67,0.0,1,
03,01,2018,05,30,71,71,0.0,1.2,
03,01,2018,06,00,76,76,0.0,1.2,
03,01,2018,07,00,76,76,0.0,1.2,
03,01,2018,08,00,81,81,0.0,0.7,
03,01,2018,08,30,73,73,0.0,1,
03,01,2018,08,30,71,71,0.0,0.7,
03,01,2018,09,00,67,67,0.0,0.7,
03,01,2018,09,30,55,55,7.4,0.7,
03,01,2018,10,00,48,48,9.3,0.7,
03,01,2018,10,30,45,45,5.6,0.9,
03,01,2018,11,00,42,42,9.3,0.9,
03,01,2018,11,30,31,31,5.6,1,
03,01,2018,11,30,40,40,7.4,1.0,
03,01,2018,12,00,35,35,9.3,1.2,
03,01,2018,12,30,28,28,7.4,1.2,
03,01,2018,14,00,23,23,7.4,1.9,
03,01,2018,14,30,14,14,5.6,1,
03,01,2018,14,30,22,22,5.6,1.9,
03,01,2018,15,00,22,22,3.7,1.9,
03,01,2018,15,30,20,20,7.4,1.9,
03,01,2018,16,00,19,19,9.3,1.9,
03,01,2018,17,00,23,23,7.4,1.9,
03,01,2018,17,30,13,13,5.6,1,
03,01,2018,17,30,24,24,5.6,1.9,
03,01,2018,18,00,28,28,1.9,1.2,
03,01,2018,19,00,42,42,0.0,1.2,
03,01,2018,19,30,42,42,0.0,1.2,
03,01,2018,20,30,36,36,0.0,1,
03,01,2018,21,00,51,51,7.4,1.2,
03,01,2018,21,30,44,44,5.6,1.2,
03,01,2018,22,00,44,44,3.7,1.2,
03,01,2018,22,30,51,51,0.0,1.2,
03,01,2018,23,00,47,47,0.0,1.2,
03,01,2018,23,30,44,44,0.0,1,
04,01,2018,00,00,58,58,0.0,1.2,
04,01,2018,00,30,62,62,0.0,1.2,
04,01,2018,08,30,70,70,0.0,1,
04,01,2018,11,00,40,40,7.4,1.2,
04,01,2018,11,30,27,27,9.3,1,
04,01,2018,11,30,37,37,7.4,1.2,
04,01,2018,12,00,35,35,11.1,1.9,
04,01,2018,12,30,30,30,11.1,1.9,
04,01,2018,13,00,30,30,9.3,1.9,
04,01,2018,13,30,28,28,9.3,1.9,
04,01,2018,14,00,27,27,11.1,1.9,
04,01,2018,14,30,17,17,5.6,1,
04,01,2018,14,30,27,27,11.1,1.9,
04,01,2018,15,00,22,22,9.3,1.9,
04,01,2018,16,00,22,22,9.3,1.9,
04,01,2018,17,30,18,18,5.6,1,
04,01,2018,17,30,23,23,5.6,1.9,
04,01,2018,18,00,26,26,0.0,1.6,
04,01,2018,19,00,32,32,0.0,1.6,
04,01,2018,19,30,39,39,0.0,1.2,
04,01,2018,20,00,44,44,0.0,1.2,
04,01,2018,20,30,38,38,0.0,1,
