day, month ,year ,hour ,minute ,temperature ,humidity ,wind_speed ,visibility,
01,11,2017,00,30,43,43,0.0,1.9,
01,11,2017,01,00,46,46,5.6,1.9,
01,11,2017,02,00,46,46,0.0,1.9,
01,11,2017,02,30,40,40,0.0,1,
01,11,2017,02,30,46,46,1.9,1.9,
01,11,2017,03,00,46,46,5.6,1.9,
01,11,2017,03,30,49,49,0.0,1.9,
01,11,2017,05,00,49,49,0.0,1.9,
01,11,2017,05,30,57,57,0.0,1,
01,11,2017,05,30,49,49,0.0,1.9,
01,11,2017,07,00,52,52,0.0,1.2,
01,11,2017,07,30,49,49,1.9,1.2,
01,11,2017,08,00,40,40,5.6,1.2,
01,11,2017,08,30,36,36,0.0,1,
01,11,2017,09,00,30,30,0.0,1.2,
01,11,2017,09,30,25,25,0.0,1.9,
01,11,2017,10,00,25,25,0.0,1.9,
01,11,2017,10,30,23,23,5.6,1.9,
01,11,2017,11,00,22,22,7.4,1.9,
01,11,2017,11,30,18,18,9.3,1,
01,11,2017,11,30,21,21,9.3,1.9,
01,11,2017,12,00,19,19,9.3,1.9,
01,11,2017,12,30,16,16,13.0,1.9,
01,11,2017,13,30,14,14,9.3,2.2,
01,11,2017,14,30,7,7,9.3,1,
01,11,2017,14,30,13,13,9.3,2.5,
01,11,2017,15,00,14,14,7.4,2.5,
01,11,2017,15,30,13,13,7.4,2.5,
01,11,2017,16,00,13,13,5.6,2.5,
01,11,2017,16,30,13,13,7.4,2.5,
01,11,2017,17,30,13,13,5.6,1,
01,11,2017,17,30,16,16,3.7,2.5,
01,11,2017,18,00,19,19,5.6,2.2,
01,11,2017,18,30,24,24,0.0,1.9,
01,11,2017,19,30,29,29,0.0,1.9,
01,11,2017,20,00,26,26,5.6,1.9,
01,11,2017,20,30,19,19,0.0,1,
01,11,2017,20,30,31,31,0.0,1.9,
01,11,2017,21,00,29,29,0.0,1.9,
01,11,2017,21,30,34,34,0.0,1.9,
01,11,2017,22,30,31,31,7.4,1.9,
01,11,2017,23,00,24,24,5.6,1.9,
01,11,2017,23,30,20,20,0.0,1,
02,11,2017,00,30,38,38,0.0,1.9,
02,11,2017,01,00,40,40,0.0,1.9,
02,11,2017,01,30,43,43,0.0,1.9,
02,11,2017,02,00,43,43,0.0,1.9,
02,11,2017,02,30,36,36,0.0,1,
02,11,2017,02,30,46,46,0.0,1.9,
02,11,2017,03,00,46,46,0.0,1.9,
02,11,2017,03,30,43,43,0.0,1.9,
02,11,2017,04,00,49,49,0.0,1.9,
02,11,2017,04,30,49,49,0.0,1.9,
02,11,2017,05,00,49,49,0.0,1.9,
02,11,2017,05,30,58,58,0.0,1,
02,11,2017,05,30,49,49,0.0,1.9,
02,11,2017,06,30,49,49,0.0,1.2,
02,11,2017,07,00,49,49,0.0,1.2,
02,11,2017,07,30,46,46,0.0,1.2,
02,11,2017,08,00,38,38,0.0,1.2,
02,11,2017,08,30,24,24,0.0,1,
02,11,2017,09,30,23,23,0.0,1.2,
02,11,2017,10,00,20,20,0.0,1.9,
02,11,2017,11,30,18,18,0.0,1,
02,11,2017,11,30,18,18,0.0,1.9,
02,11,2017,12,30,15,15,13.0,1.9,
02,11,2017,13,00,15,15,11.1,1.9,
02,11,2017,13,30,15,15,11.1,1.9,
02,11,2017,14,00,15,15,11.1,1.9,
02,11,2017,14,30,9,9,9.3,2,
02,11,2017,14,30,15,15,13.0,2.5,
02,11,2017,15,00,14,14,16.7,2.5,
02,11,2017,15,30,15,15,11.1,3.1,
02,11,2017,16,00,14,14,11.1,3.1,
02,11,2017,16,30,14,14,11.1,3.1,
02,11,2017,17,00,15,15,11.1,3.1,
02,11,2017,17,30,10,10,7.4,2,
02,11,2017,17,30,17,17,7.4,2.5,
02,11,2017,18,30,20,20,5.6,2.2,
02,11,2017,19,00,22,22,5.6,2.2,
02,11,2017,19,30,23,23,5.6,1.9,
02,11,2017,20,00,25,25,0.0,1.9,
02,11,2017,20,30,35,35,0.0,1,
02,11,2017,20,30,26,26,0.0,1.9,
02,11,2017,21,00,26,26,0.0,1.9,
02,11,2017,21,30,26,26,0.0,1.9,
02,11,2017,22,00,28,28,0.0,1.9,
02,11,2017,22,30,29,29,0.0,1.9,
02,11,2017,23,30,35,35,0.0,1,
03,11,2017,00,00,35,35,0.0,1.9,
03,11,2017,00,30,38,38,0.0,1.9,
03,11,2017,01,00,33,33,0.0,1.9,
03,11,2017,02,30,28,28,0.0,1,
03,11,2017,02,30,35,35,0.0,1.9,
03,11,2017,03,30,40,40,0.0,1.9,
03,11,2017,05,00,43,43,0.0,1.9,
03,11,2017,05,30,53,53,0.0,1,
03,11,2017,05,30,46,46,0.0,1.9,
03,11,2017,06,00,46,46,0.0,1.9,
03,11,2017,06,30,49,49,0.0,1.2,
03,11,2017,07,00,49,49,0.0,1.2,
03,11,2017,08,00,49,49,1.9,1.2,
03,11,2017,08,30,50,50,0.0,1,
03,11,2017,08,30,44,44,0.0,1.2,
03,11,2017,09,00,44,44,0.0,1.2,
03,11,2017,09,30,42,42,3.7,1.2,
03,11,2017,10,00,45,45,0.0,1.2,
03,11,2017,10,30,37,37,5.6,1.2,
03,11,2017,11,00,31,31,1.9,1.2,
03,11,2017,11,30,20,20,9.3,1,
03,11,2017,11,30,29,29,7.4,1.2,
03,11,2017,12,00,27,27,5.6,1.6,
03,11,2017,12,30,24,24,5.6,1.6,
03,11,2017,13,00,21,21,7.4,2.2,
03,11,2017,13,30,17,17,13.0,2.2,
03,11,2017,14,00,16,16,11.1,2.5,
03,11,2017,14,30,8,8,7.4,2,
03,11,2017,14,30,14,14,11.1,2.5,
03,11,2017,15,00,15,15,5.6,2.5,
03,11,2017,16,00,16,16,9.3,2.5,
03,11,2017,16,30,15,15,11.1,2.5,
03,11,2017,17,30,10,10,3.7,2,
03,11,2017,17,30,18,18,0.0,2.5,
03,11,2017,18,00,20,20,0.0,2.5,
03,11,2017,18,30,26,26,0.0,1.9,
03,11,2017,19,00,30,30,0.0,1.9,
03,11,2017,19,30,26,26,5.6,1.9,
03,11,2017,20,00,26,26,5.6,1.9,
03,11,2017,20,30,28,28,0.0,1,
03,11,2017,20,30,26,26,0.0,1.9,
03,11,2017,21,00,28,28,0.0,1.9,
03,11,2017,21,30,26,26,0.0,1.9,
03,11,2017,22,00,29,29,0.0,1.9,
03,11,2017,22,30,34,34,0.0,1.9,
03,11,2017,23,00,34,34,0.0,1.9,
03,11,2017,23,30,28,28,0.0,1,
04,11,2017,00,00,39,39,0.0,1.9,
04,11,2017,01,00,39,39,0.0,1.9,
04,11,2017,02,00,44,44,5.6,1.9,
04,11,2017,02,30,36,36,5.6,1,
04,11,2017,02,30,46,46,5.6,1.9,
04,11,2017,03,00,46,46,3.7,1.9,
04,11,2017,04,00,49,49,1.9,1.9,
04,11,2017,05,30,41,41,0.0,1,
04,11,2017,05,30,53,53,0.0,1.9,
04,11,2017,07,00,60,60,0.0,1.2,
04,11,2017,07,30,60,60,5.6,1.2,
04,11,2017,08,00,57,57,0.0,1.2,
04,11,2017,08,30,49,49,5.6,1,
04,11,2017,09,00,50,50,11.1,1.6,
04,11,2017,09,30,47,47,11.1,1.6,
04,11,2017,10,30,39,39,7.4,1.6,
04,11,2017,11,00,37,37,5.6,1.6,
04,11,2017,11,30,24,24,5.6,1,
04,11,2017,11,30,33,33,7.4,1.6,
04,11,2017,12,00,31,31,7.4,1.6,
04,11,2017,12,30,29,29,7.4,1.6,
04,11,2017,13,00,29,29,7.4,1.6,
04,11,2017,14,00,29,29,9.3,1.9,
04,11,2017,14,30,20,20,7.4,1,
04,11,2017,14,30,31,31,9.3,1.9,
04,11,2017,15,00,31,31,11.1,1.9,
04,11,2017,15,30,31,31,11.1,1.9,
04,11,2017,16,00,29,29,11.1,1.9,
04,11,2017,16,30,30,30,9.3,1.9,
04,11,2017,17,00,30,30,7.4,1.9,
04,11,2017,17,30,24,24,5.6,1,
04,11,2017,17,30,37,37,5.6,1.6,
04,11,2017,19,00,39,39,0.0,1.6,
04,11,2017,19,30,44,44,9.3,1.6,
04,11,2017,20,00,44,44,7.4,1.6,
04,11,2017,20,30,37,37,7.4,1,
04,11,2017,21,00,47,47,9.3,1.6,
04,11,2017,21,30,50,50,11.1,1.6,
04,11,2017,22,30,53,53,11.1,1.6,
04,11,2017,23,30,48,48,9.3,1,
05,11,2017,00,00,57,57,9.3,1.6,
05,11,2017,00,30,57,57,11.1,1.6,
05,11,2017,02,00,57,57,9.3,1.6,
05,11,2017,02,30,50,50,9.3,1,
05,11,2017,02,30,57,57,9.3,1.6,
05,11,2017,03,00,57,57,9.3,1.6,
05,11,2017,03,30,60,60,9.3,1.6,
05,11,2017,04,30,60,60,7.4,1.6,
05,11,2017,05,30,52,52,7.4,1,
05,11,2017,05,30,60,60,7.4,1.6,
05,11,2017,06,00,64,64,5.6,1.6,
05,11,2017,06,30,64,64,9.3,1.6,
05,11,2017,07,00,64,64,7.4,1.2,
05,11,2017,07,30,68,68,5.6,1.2,
05,11,2017,08,00,61,61,9.3,1.2,
05,11,2017,08,30,61,61,9.3,1,
05,11,2017,08,30,61,61,11.1,1.2,
05,11,2017,09,00,57,57,11.1,1.2,
05,11,2017,09,30,50,50,11.1,1.2,
05,11,2017,11,00,42,42,9.3,1.2,
05,11,2017,11,30,30,30,9.3,1,
05,11,2017,12,00,32,32,9.3,1.9,
05,11,2017,12,30,30,30,7.4,1.9,
05,11,2017,13,00,33,33,5.6,3.1,
05,11,2017,13,30,30,30,5.6,3.1,
05,11,2017,14,00,27,27,5.6,3.1,
05,11,2017,14,30,19,19,7.4,2,
05,11,2017,14,30,29,29,9.3,3.1,
05,11,2017,15,00,29,29,7.4,3.1,
05,11,2017,15,30,29,29,9.3,3.1,
05,11,2017,16,00,27,27,5.6,3.1,
05,11,2017,16,30,27,27,9.3,3.1,
05,11,2017,17,30,24,24,5.6,1,
05,11,2017,17,30,30,30,3.7,1.9,
05,11,2017,18,00,34,34,0.0,1.9,
05,11,2017,19,00,41,41,0.0,1.9,
05,11,2017,19,30,44,44,0.0,1.9,
05,11,2017,20,00,47,47,1.9,1.9,
05,11,2017,20,30,37,37,0.0,1,
05,11,2017,20,30,50,50,1.9,1.9,
05,11,2017,21,00,50,50,0.0,1.9,
05,11,2017,22,30,50,50,0.0,1.9,
05,11,2017,23,00,50,50,0.0,1.9,
05,11,2017,23,30,42,42,0.0,1,
06,11,2017,00,00,53,53,0.0,1.9,
06,11,2017,01,00,53,53,0.0,1.9,
06,11,2017,01,30,53,53,0.0,1.9,
06,11,2017,02,00,60,60,0.0,1.9,
06,11,2017,02,30,43,43,0.0,1,
06,11,2017,02,30,56,56,0.0,1.9,
06,11,2017,03,00,53,53,0.0,1.9,
06,11,2017,03,30,53,53,0.0,1.9,
06,11,2017,04,00,53,53,0.0,1.9,
06,11,2017,05,30,62,62,0.0,1,
06,11,2017,05,30,60,60,0.0,1.9,
06,11,2017,06,00,64,64,0.0,1.9,
06,11,2017,06,30,64,64,0.0,1.6,
06,11,2017,07,00,68,68,1.9,1.2,
06,11,2017,07,30,64,64,1.9,1.2,
06,11,2017,08,00,60,60,0.0,1.2,
06,11,2017,08,30,43,43,0.0,1,
06,11,2017,08,30,53,53,1.9,1.2,
06,11,2017,09,00,44,44,1.9,1.2,
06,11,2017,09,30,47,47,0.0,1.2,
06,11,2017,10,00,42,42,3.7,1.2,
06,11,2017,10,30,39,39,1.9,1.2,
06,11,2017,11,00,37,37,7.4,1.2,
06,11,2017,11,30,22,22,3.7,1,
06,11,2017,11,30,32,32,7.4,1.2,
06,11,2017,12,00,30,30,5.6,1.2,
06,11,2017,12,30,29,29,7.4,1.2,
06,11,2017,13,00,29,29,9.3,1.2,
06,11,2017,14,00,27,27,7.4,1.6,
06,11,2017,14,30,17,17,3.7,1,
06,11,2017,14,30,25,25,1.9,1.9,
06,11,2017,15,00,27,27,5.6,1.9,
06,11,2017,15,30,25,25,7.4,1.9,
06,11,2017,16,30,25,25,3.7,1.9,
06,11,2017,17,30,21,21,0.0,1,
06,11,2017,18,00,36,36,0.0,1.2,
06,11,2017,19,00,39,39,0.0,1.2,
06,11,2017,19,30,41,41,0.0,1.2,
06,11,2017,20,00,47,47,0.0,1.2,
06,11,2017,20,30,47,47,0.0,1,
06,11,2017,20,30,47,47,0.0,1.2,
06,11,2017,21,30,53,53,0.0,1.2,
06,11,2017,22,30,49,49,5.6,1.2,
06,11,2017,23,00,50,50,0.0,1.2,
06,11,2017,23,30,55,55,0.0,1,
07,11,2017,00,30,49,49,0.0,1.2,
07,11,2017,01,00,52,52,0.0,1.2,
07,11,2017,02,00,52,52,1.9,1.2,
07,11,2017,02,30,43,43,0.0,1,
07,11,2017,04,00,56,56,0.0,1.2,
07,11,2017,05,00,59,59,0.0,1.2,
07,11,2017,05,30,61,61,0.0,1,
07,11,2017,05,30,56,56,0.0,1.2,
07,11,2017,07,00,63,63,0.0,1.2,
07,11,2017,07,30,59,59,0.0,1.2,
07,11,2017,08,00,56,56,0.0,1.2,
07,11,2017,08,30,49,49,0.0,1,
07,11,2017,09,00,39,39,0.0,1.2,
07,11,2017,09,30,34,34,0.0,1.6,
07,11,2017,10,30,30,30,0.0,1.6,
07,11,2017,11,30,17,17,0.0,1,
07,11,2017,12,00,27,27,7.4,1.9,
07,11,2017,13,00,23,23,5.6,1.9,
07,11,2017,13,30,23,23,9.3,2.5,
07,11,2017,14,00,21,21,7.4,2.5,
07,11,2017,14,30,13,13,5.6,2,
07,11,2017,14,30,21,21,7.4,2.5,
07,11,2017,15,30,21,21,5.6,2.5,
07,11,2017,16,00,21,21,3.7,2.5,
07,11,2017,17,30,14,14,0.0,1,
07,11,2017,17,30,23,23,0.0,1.9,
07,11,2017,19,00,38,38,0.0,1.2,
07,11,2017,19,30,38,38,0.0,1.2,
07,11,2017,20,00,41,41,0.0,1.2,
07,11,2017,20,30,26,26,0.0,1,
07,11,2017,21,00,43,43,0.0,1.2,
07,11,2017,21,30,43,43,0.0,1.2,
07,11,2017,22,00,41,41,0.0,1.2,
07,11,2017,23,00,43,43,0.0,1.2,
