day, month ,year ,hour ,minute ,temperature ,humidity ,wind_speed ,visibility,
01,10,2017,00,00,29,29,5.6,1.9,
01,10,2017,02,30,26,26,0.0,1,
01,10,2017,05,00,47,47,0.0,1.9,
01,10,2017,05,30,40,40,0.0,1,
01,10,2017,06,30,50,50,0.0,1.9,
01,10,2017,08,30,30,30,0.0,1,
01,10,2017,09,30,26,26,0.0,2.2,
01,10,2017,11,00,26,26,14.8,3.1,
01,10,2017,11,30,15,15,5.6,2,
01,10,2017,12,30,22,22,13.0,3.7,
01,10,2017,13,00,22,22,9.3,3.7,
01,10,2017,13,30,17,17,9.3,3.7,
01,10,2017,14,00,15,15,13.0,3.7,
01,10,2017,14,30,10,10,9.3,2,
01,10,2017,14,30,15,15,9.3,3.7,
01,10,2017,15,00,15,15,13.0,3.7,
01,10,2017,15,30,15,15,9.3,3.7,
01,10,2017,16,00,16,16,11.1,3.7,
01,10,2017,16,30,18,18,13.0,3.7,
01,10,2017,17,00,18,18,7.4,3.7,
01,10,2017,17,30,11,11,7.4,2,
01,10,2017,17,30,19,19,7.4,3.7,
01,10,2017,18,30,21,21,5.6,2.5,
01,10,2017,19,30,24,24,7.4,1.9,
01,10,2017,20,00,26,26,9.3,1.9,
01,10,2017,20,30,15,15,3.7,1,
01,10,2017,20,30,26,26,5.6,1.9,
01,10,2017,21,30,25,25,5.6,1.9,
01,10,2017,22,00,25,25,7.4,1.9,
01,10,2017,23,00,24,24,9.3,1.9,
01,10,2017,23,30,17,17,7.4,1,
02,10,2017,00,00,29,29,1.9,1.9,
02,10,2017,02,30,28,28,0.0,1,
02,10,2017,03,30,35,35,1.9,1.9,
02,10,2017,04,00,35,35,1.9,1.9,
02,10,2017,04,30,39,39,0.0,1.9,
02,10,2017,05,00,42,42,0.0,1.9,
02,10,2017,05,30,35,35,0.0,1,
02,10,2017,05,30,37,37,0.0,1.9,
02,10,2017,07,30,39,39,0.0,1.9,
02,10,2017,08,30,25,25,9.3,2,
02,10,2017,08,30,33,33,9.3,2.5,
02,10,2017,09,30,27,27,11.1,2.5,
02,10,2017,10,30,28,28,11.1,3.1,
02,10,2017,11,00,26,26,13.0,3.1,
02,10,2017,11,30,15,15,11.1,2,
02,10,2017,11,30,23,23,13.0,3.1,
02,10,2017,13,00,18,18,9.3,3.1,
02,10,2017,13,30,17,17,11.1,3.1,
02,10,2017,14,00,14,14,7.4,3.1,
02,10,2017,14,30,11,11,9.3,2,
02,10,2017,15,00,15,15,5.6,3.1,
02,10,2017,15,30,16,16,1.9,3.1,
02,10,2017,16,30,15,15,9.3,3.1,
02,10,2017,17,30,11,11,9.3,2,
02,10,2017,17,30,17,17,7.4,3.1,
02,10,2017,18,00,18,18,5.6,3.1,
02,10,2017,19,30,23,23,0.0,1.9,
02,10,2017,20,00,26,26,5.6,1.9,
02,10,2017,20,30,17,17,5.6,1,
02,10,2017,20,30,26,26,5.6,1.9,
02,10,2017,21,00,24,24,3.7,1.9,
02,10,2017,21,30,27,27,7.4,2.2,
02,10,2017,22,00,27,27,5.6,2.2,
02,10,2017,22,30,31,31,5.6,2.2,
02,10,2017,23,00,29,29,7.4,2.2,
02,10,2017,23,30,22,22,5.6,1,
03,10,2017,00,00,27,27,9.3,2.2,
03,10,2017,01,00,27,27,7.4,2.2,
03,10,2017,02,30,28,28,0.0,1,
03,10,2017,02,30,30,30,7.4,2.2,
03,10,2017,03,00,32,32,7.4,2.2,
03,10,2017,04,00,32,32,9.3,2.2,
03,10,2017,05,00,32,32,11.1,2.2,
03,10,2017,05,30,23,23,9.3,1,
03,10,2017,05,30,32,32,9.3,2.2,
03,10,2017,06,00,32,32,11.1,2.2,
03,10,2017,06,30,32,32,11.1,2.2,
03,10,2017,07,00,32,32,13.0,2.5,
03,10,2017,07,30,32,32,13.0,2.5,
03,10,2017,08,00,30,30,11.1,2.5,
03,10,2017,08,30,24,24,9.3,1,
03,10,2017,08,30,29,29,9.3,2.5,
03,10,2017,09,00,27,27,13.0,2.5,
03,10,2017,09,30,26,26,14.8,2.5,
03,10,2017,10,30,23,23,14.8,3.1,
03,10,2017,11,30,12,12,11.1,2,
03,10,2017,12,00,19,19,14.8,3.1,
03,10,2017,12,30,18,18,13.0,3.1,
03,10,2017,13,00,16,16,13.0,3.1,
03,10,2017,14,30,11,11,14.8,2,
03,10,2017,14,30,14,14,13.0,3.1,
03,10,2017,15,00,15,15,11.1,3.1,
03,10,2017,15,30,13,13,9.3,3.1,
03,10,2017,16,00,13,13,9.3,3.1,
03,10,2017,17,00,14,14,11.1,3.1,
03,10,2017,17,30,9,9,11.1,2,
03,10,2017,17,30,16,16,9.3,3.1,
03,10,2017,18,00,16,16,7.4,3.1,
03,10,2017,18,30,19,19,7.4,3.1,
03,10,2017,19,00,19,19,5.6,1.9,
03,10,2017,19,30,21,21,5.6,1.9,
03,10,2017,20,00,21,21,5.6,1.9,
03,10,2017,20,30,16,16,5.6,1,
03,10,2017,20,30,24,24,5.6,1.9,
03,10,2017,21,00,27,27,5.6,1.9,
03,10,2017,22,00,25,25,7.4,1.9,
03,10,2017,22,30,27,27,5.6,1.9,
03,10,2017,23,00,32,32,3.7,1.9,
03,10,2017,23,30,22,22,5.6,1,
04,10,2017,00,00,32,32,7.4,1.9,
04,10,2017,00,30,32,32,3.7,1.9,
04,10,2017,01,00,34,34,5.6,1.9,
04,10,2017,01,30,39,39,0.0,1.9,
04,10,2017,02,30,29,29,0.0,1,
04,10,2017,02,30,39,39,0.0,1.9,
04,10,2017,03,00,44,44,0.0,1.9,
04,10,2017,05,00,44,44,0.0,1.9,
04,10,2017,05,30,35,35,0.0,1,
04,10,2017,05,30,47,47,0.0,1.9,
04,10,2017,06,00,50,50,0.0,1.9,
04,10,2017,06,30,53,53,0.0,1.9,
04,10,2017,07,00,47,47,0.0,1.9,
04,10,2017,07,30,47,47,0.0,1.6,
04,10,2017,08,00,42,42,0.0,1.6,
04,10,2017,08,30,36,36,1.9,1,
04,10,2017,08,30,40,40,1.9,1.6,
04,10,2017,09,00,38,38,3.7,1.9,
04,10,2017,10,30,29,29,7.4,1.9,
04,10,2017,11,00,25,25,3.7,1.9,
04,10,2017,11,30,19,19,0.0,2,
04,10,2017,11,30,25,25,0.0,2.5,
04,10,2017,12,00,19,19,5.6,2.5,
04,10,2017,12,30,17,17,5.6,2.5,
04,10,2017,13,30,15,15,11.1,3.1,
04,10,2017,14,30,10,10,5.6,2,
04,10,2017,14,30,15,15,3.7,3.1,
04,10,2017,17,30,9,9,5.6,2,
04,10,2017,17,30,14,14,9.3,3.1,
04,10,2017,18,00,18,18,5.6,3.1,
04,10,2017,18,30,20,20,5.6,2.5,
04,10,2017,19,00,21,21,3.7,2.5,
04,10,2017,20,00,24,24,3.7,1.9,
04,10,2017,20,30,17,17,5.6,1,
04,10,2017,20,30,25,25,5.6,1.9,
04,10,2017,21,00,29,29,1.9,1.9,
04,10,2017,21,30,30,30,3.7,1.9,
04,10,2017,22,00,27,27,5.6,1.9,
04,10,2017,22,30,33,33,5.6,1.9,
04,10,2017,23,00,32,32,0.0,1.9,
04,10,2017,23,30,24,24,9.3,1,
05,10,2017,00,00,32,32,0.0,1.9,
05,10,2017,00,30,39,39,0.0,1.9,
05,10,2017,01,00,39,39,0.0,1.9,
05,10,2017,01,30,42,42,0.0,1.9,
05,10,2017,02,00,42,42,0.0,1.9,
05,10,2017,02,30,35,35,3.7,1,
05,10,2017,02,30,47,47,0.0,1.9,
05,10,2017,03,00,47,47,0.0,1.9,
05,10,2017,04,00,44,44,0.0,1.9,
05,10,2017,04,30,44,44,0.0,1.9,
05,10,2017,05,00,44,44,0.0,1.9,
05,10,2017,05,30,46,46,0.0,1,
05,10,2017,05,30,53,53,0.0,1.9,
05,10,2017,06,30,50,50,0.0,1.9,
05,10,2017,07,00,50,50,0.0,1.9,
05,10,2017,07,30,50,50,0.0,1.9,
05,10,2017,08,00,45,45,0.0,1.6,
05,10,2017,08,30,40,40,0.0,1,
05,10,2017,08,30,42,42,0.0,1.9,
05,10,2017,09,00,43,43,7.4,1.9,
05,10,2017,10,00,40,40,9.3,1.9,
05,10,2017,10,30,40,40,11.1,1.9,
05,10,2017,11,00,36,36,11.1,1.9,
05,10,2017,11,30,21,21,9.3,1,
05,10,2017,11,30,30,30,9.3,1.9,
05,10,2017,12,00,23,23,13.0,1.9,
05,10,2017,12,30,23,23,14.8,2.5,
05,10,2017,14,30,12,12,7.4,2,
05,10,2017,15,00,20,20,11.1,3.1,
05,10,2017,15,30,20,20,13.0,3.1,
05,10,2017,16,00,20,20,13.0,3.1,
05,10,2017,16,30,22,22,5.6,3.1,
05,10,2017,17,00,20,20,9.3,3.1,
05,10,2017,17,30,13,13,11.1,2,
05,10,2017,17,30,22,22,11.1,3.1,
05,10,2017,18,00,23,23,7.4,2.8,
05,10,2017,18,30,24,24,7.4,2.5,
05,10,2017,19,30,26,26,3.7,1.9,
05,10,2017,20,00,29,29,0.0,1.9,
05,10,2017,20,30,20,20,0.0,1,
05,10,2017,21,00,31,31,7.4,1.9,
05,10,2017,21,30,31,31,5.6,1.9,
05,10,2017,22,00,27,27,7.4,1.9,
05,10,2017,22,30,29,29,9.3,1.9,
05,10,2017,23,00,29,29,11.1,2.2,
05,10,2017,23,30,20,20,9.3,1,
06,10,2017,00,30,30,30,9.3,2.2,
06,10,2017,02,30,24,24,0.0,1,
06,10,2017,03,30,32,32,7.4,1.9,
06,10,2017,04,00,35,35,11.1,1.9,
06,10,2017,04,30,35,35,7.4,1.9,
06,10,2017,05,00,35,35,9.3,1.9,
06,10,2017,05,30,26,26,9.3,1,
06,10,2017,06,00,37,37,9.3,1.9,
06,10,2017,06,30,37,37,11.1,1.9,
06,10,2017,07,00,39,39,7.4,1.9,
06,10,2017,08,00,37,37,9.3,1.9,
