Day,Month,Year,Hour,Minute,Acedamic_Eco_1,Library_Eco_1,Acedamic_Eco_2,Library_Eco_2,Acedamic_Eco_3,l_Acedamic_Symo,
1,12,2017,2,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,12,2017,3,35,0.0,0.0,0.0,0.0,0.0,0.0,
1,12,2017,4,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,12,2017,6,15,0.0,0.0,0.0,0.0,0.0,0.0,
1,12,2017,6,30,0.0,0.0,0.0,0.0,0.0,0.0,
1,12,2017,6,35,0.0,0.0,0.0,0.0,0.0,0.0,
1,12,2017,6,40,0.0,0.06,0.02,0.06,0.0,0.0,
1,12,2017,6,45,0.0,0.13,0.09,0.14,0.02,0.0,
1,12,2017,6,50,0.0,0.25,0.18,0.25,0.1,0.0,
1,12,2017,6,55,0.0,0.4,0.31,0.41,0.2,0.0,
1,12,2017,7,0,0.0,0.58,0.46,0.6,0.34,0.0,
1,12,2017,7,5,0.02,0.79,0.63,0.81,0.51,0.0,
1,12,2017,7,10,0.08,1.03,0.82,1.07,0.7,0.02,
1,12,2017,7,15,0.18,1.26,1.03,1.35,0.92,0.08,
1,12,2017,7,20,0.31,1.52,1.26,1.71,1.16,0.15,
1,12,2017,7,25,0.46,1.76,1.48,2.07,1.42,0.24,
1,12,2017,7,30,0.64,2.06,1.69,2.43,1.66,0.34,
1,12,2017,7,35,0.84,2.83,1.94,3.18,1.99,0.46,
1,12,2017,7,40,1.06,3.85,2.21,4.12,2.6,0.58,
1,12,2017,7,45,1.32,4.84,2.64,4.94,3.43,0.71,
1,12,2017,7,50,1.55,5.57,3.47,5.59,4.39,0.82,
1,12,2017,7,55,1.79,6.15,4.17,6.17,5.15,0.96,
1,12,2017,8,0,2.08,6.87,5.12,6.87,5.88,1.19,
1,12,2017,8,5,2.73,7.59,5.91,7.59,6.49,1.64,
1,12,2017,8,10,3.39,8.23,6.55,8.23,7.19,1.97,
1,12,2017,8,15,4.06,8.8,7.12,8.8,7.88,2.23,
1,12,2017,8,20,4.68,9.41,7.86,9.42,8.45,2.49,
