Day,Month,Year,Hour,Minute,Acedamic_Eco_1,Library_Eco_1,Acedamic_Eco_2,Library_Eco_2,Acedamic_Eco_3,l_Acedamic_Symo,
1,2,2018,6,40,0.0,0.0,0.0,0.0,0.0,0.0,
1,2,2018,6,45,0.0,0.0,0.0,0.0,0.0,0.0,
1,2,2018,6,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,2,2018,6,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,2,2018,7,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,2,2018,7,5,0.0,0.0,0.0,0.0,0.01,0.0,
1,2,2018,7,10,0.0,0.03,0.06,0.02,0.08,0.0,
1,2,2018,7,15,0.0,0.11,0.16,0.11,0.18,0.0,
1,2,2018,7,20,0.0,0.23,0.29,0.23,0.32,0.0,
1,2,2018,7,25,0.0,0.39,0.44,0.39,0.5,0.0,
1,2,2018,7,30,0.0,0.57,0.6,0.58,0.7,0.0,
1,2,2018,7,35,0.0,0.79,0.77,0.84,0.91,0.0,
1,2,2018,7,40,0.0,1.01,0.95,1.11,1.18,0.0,
1,2,2018,7,45,0.0,1.25,1.16,1.48,1.56,0.0,
1,2,2018,7,50,0.05,1.58,1.35,1.89,2.0,0.01,
1,2,2018,7,55,0.16,2.33,1.54,2.63,2.56,0.07,
1,2,2018,8,0,0.29,3.33,1.97,3.51,3.28,0.14,
1,2,2018,8,5,0.44,4.2,2.35,4.25,4.0,0.23,
1,2,2018,8,10,0.61,4.87,2.65,4.92,4.85,0.33,
1,2,2018,8,15,0.8,5.57,2.95,5.62,5.58,0.45,
1,2,2018,8,20,1.0,6.25,3.76,6.28,6.36,0.57,
1,2,2018,8,25,1.22,6.88,5.07,6.91,6.97,0.72,
1,2,2018,8,30,1.41,7.53,5.98,7.56,7.75,0.94,
1,2,2018,8,35,1.62,8.2,7.01,8.24,8.52,1.29,
1,2,2018,8,40,2.0,8.92,7.63,8.93,9.13,1.63,
1,2,2018,8,45,2.6,9.36,8.38,9.39,9.65,1.9,
1,2,2018,8,50,3.51,10.05,9.16,10.07,10.31,2.15,
1,2,2018,8,55,4.2,10.64,9.84,10.57,10.78,2.4,
1,2,2018,9,0,4.81,11.04,10.45,11.09,11.27,2.64,
1,2,2018,9,5,5.45,11.63,11.2,11.73,11.84,2.86,
1,2,2018,9,10,6.11,12.12,11.75,12.11,12.27,3.13,
1,2,2018,9,15,6.72,12.69,12.59,12.68,12.98,3.4,
1,2,2018,9,20,7.26,13.42,13.12,13.41,13.47,3.64,
1,2,2018,9,25,7.76,13.67,13.62,13.71,13.88,4.19,
1,2,2018,9,30,8.35,14.26,14.16,14.32,14.42,4.66,
1,2,2018,9,35,9.26,14.57,14.45,14.6,14.75,5.0,
1,2,2018,9,40,9.91,15.11,15.0,15.12,15.3,5.32,
1,2,2018,9,45,10.75,15.63,15.49,15.63,15.76,5.84,
1,2,2018,9,50,11.3,15.98,15.89,15.96,16.17,6.22,
1,2,2018,9,55,12.05,16.49,16.17,16.45,16.5,6.58,
1,2,2018,10,0,12.61,16.76,16.48,16.79,16.8,6.84,
1,2,2018,10,5,13.02,17.03,16.95,17.14,17.27,7.07,
1,2,2018,10,10,13.6,17.62,17.43,17.62,17.67,7.41,
1,2,2018,10,15,13.97,17.85,17.87,17.86,18.1,7.5,
1,2,2018,10,20,14.61,18.37,18.23,18.3,18.43,7.82,
1,2,2018,10,25,15.03,18.6,18.42,18.56,18.64,8.03,
1,2,2018,10,30,15.51,18.67,18.38,18.6,18.53,8.25,
1,2,2018,10,35,15.77,18.77,18.63,18.71,18.91,8.32,
1,2,2018,10,40,16.22,18.99,19.03,18.86,19.2,8.5,
1,2,2018,10,45,16.65,19.3,19.04,19.23,19.27,8.7,
1,2,2018,10,50,17.11,19.32,19.09,19.24,19.32,8.98,
1,2,2018,10,55,17.58,19.11,18.94,19.08,19.21,9.21,
1,2,2018,11,0,17.99,19.16,18.94,19.09,19.15,9.41,
1,2,2018,11,5,18.22,18.87,18.83,18.81,19.1,9.5,
1,2,2018,11,10,18.24,19.3,19.59,19.26,19.75,9.53,
1,2,2018,11,15,18.6,20.13,19.7,20.0,19.93,9.53,
1,2,2018,11,20,19.02,20.27,20.41,20.1,20.65,9.82,
1,2,2018,11,25,19.06,20.75,20.48,20.81,20.7,9.83,
1,2,2018,11,30,19.17,20.52,20.15,20.44,20.19,9.87,
1,2,2018,11,35,18.98,20.73,20.5,20.59,20.65,9.76,
1,2,2018,11,40,18.92,20.58,20.48,20.41,20.62,9.7,
1,2,2018,11,45,18.85,20.14,19.96,20.01,20.01,9.65,
1,2,2018,11,50,19.59,20.91,20.81,20.91,20.75,10.09,
1,2,2018,11,55,19.65,20.97,21.37,20.93,21.36,10.11,
1,2,2018,12,0,20.33,21.85,21.8,21.71,21.86,10.4,
1,2,2018,12,5,20.57,21.84,21.07,21.67,21.84,10.59,
1,2,2018,12,10,20.16,22.02,22.2,21.82,22.28,10.41,
1,2,2018,12,15,20.46,22.42,21.76,22.22,21.88,10.48,
1,2,2018,12,20,20.52,21.96,21.84,21.83,21.92,10.51,
1,2,2018,12,25,19.27,22.5,22.46,22.42,22.54,10.26,
1,2,2018,12,30,20.58,23.11,23.03,22.96,23.15,10.65,
1,2,2018,12,35,21.32,23.31,22.74,23.17,22.8,11.07,
1,2,2018,12,40,21.69,22.9,22.61,22.65,22.64,11.17,
1,2,2018,12,45,21.77,22.84,22.84,22.65,22.91,11.22,
1,2,2018,12,50,22.07,23.21,22.86,23.08,22.94,11.33,
1,2,2018,12,55,21.64,23.35,23.13,23.13,23.19,11.11,
1,2,2018,13,0,21.84,23.42,23.13,23.13,23.21,11.23,
1,2,2018,13,5,22.52,23.19,22.73,22.91,22.75,11.61,
1,2,2018,13,10,23.08,22.54,22.79,22.59,22.86,11.82,
1,2,2018,13,15,22.7,22.79,22.1,22.33,22.13,11.68,
1,2,2018,13,20,22.56,22.02,21.96,21.8,22.05,11.56,
1,2,2018,13,25,22.82,22.38,22.52,22.08,22.61,11.75,
1,2,2018,13,30,22.83,22.45,21.7,22.1,22.5,11.72,
1,2,2018,13,35,23.06,22.43,22.36,22.16,22.41,11.84,
1,2,2018,13,40,23.06,22.48,22.28,22.05,22.38,11.82,
1,2,2018,13,45,22.67,22.31,21.65,22.05,21.74,11.63,
1,2,2018,13,50,22.81,21.84,21.61,21.54,21.71,11.7,
1,2,2018,13,55,22.15,21.61,21.47,21.29,21.5,11.44,
1,2,2018,14,0,21.91,21.58,21.51,21.2,21.61,11.28,
1,2,2018,14,5,22.5,21.47,20.95,21.21,21.01,11.56,
1,2,2018,14,10,22.37,21.04,20.93,20.73,21.0,11.48,
1,2,2018,14,15,22.31,21.24,21.0,21.0,21.01,11.47,
1,2,2018,14,20,22.18,20.88,20.47,20.69,20.44,11.37,
1,2,2018,14,25,21.49,20.53,20.39,20.36,20.41,11.02,
1,2,2018,14,30,21.52,20.35,19.96,20.19,19.97,11.03,
1,2,2018,14,35,21.37,19.78,19.89,19.64,19.91,10.97,
1,2,2018,14,40,20.7,19.75,19.5,19.59,19.55,10.93,
1,2,2018,14,45,20.76,19.51,19.22,19.28,19.26,10.65,
1,2,2018,14,50,20.74,19.06,18.5,18.83,18.57,10.66,
1,2,2018,14,55,20.84,18.23,18.3,17.99,18.38,10.7,
1,2,2018,15,0,20.31,17.92,17.58,17.64,17.67,10.48,
1,2,2018,15,5,20.21,17.5,17.17,17.2,17.24,10.35,
1,2,2018,15,10,19.81,17.11,16.78,16.81,16.86,10.18,
1,2,2018,15,15,19.77,16.19,15.88,15.82,15.9,10.13,
1,2,2018,15,20,19.36,15.87,15.25,15.58,15.3,9.94,
1,2,2018,15,25,19.1,15.05,14.96,14.75,15.0,9.77,
