Day,Month,Year,Hour,Minute,Acedamic_Eco_1,Library_Eco_1,Acedamic_Eco_2,Library_Eco_2,Acedamic_Eco_3,l_Acedamic_Symo,
1,1,2018,4,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,2018,6,45,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,2018,6,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,2018,6,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,2018,7,0,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,2018,7,5,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,2018,7,10,0.0,0.0,0.04,0.01,0.05,0.0,
1,1,2018,7,15,0.0,0.02,0.12,0.07,0.13,0.0,
1,1,2018,7,20,0.0,0.07,0.22,0.16,0.23,0.0,
1,1,2018,7,25,0.0,0.16,0.34,0.28,0.36,0.0,
1,1,2018,7,30,0.0,0.28,0.49,0.42,0.51,0.0,
1,1,2018,7,35,0.0,0.42,0.66,0.58,0.69,0.0,
1,1,2018,7,40,0.0,0.59,0.85,0.77,0.9,0.0,
1,1,2018,7,45,0.0,0.77,1.09,1.02,1.16,0.0,
1,1,2018,7,50,0.0,1.02,1.34,1.29,1.42,0.0,
1,1,2018,7,55,0.03,1.28,1.61,1.57,1.7,0.0,
1,1,2018,8,0,0.11,1.54,1.93,1.92,2.07,0.04,
1,1,2018,8,5,0.21,1.86,2.2,2.24,2.43,0.09,
1,1,2018,8,10,0.34,2.19,2.43,2.54,2.69,0.16,
1,1,2018,8,15,0.48,2.5,2.8,3.18,3.26,0.24,
1,1,2018,8,20,0.65,3.05,3.25,3.66,3.82,0.34,
1,1,2018,8,25,0.85,3.57,3.62,4.09,4.27,0.44,
1,1,2018,8,30,1.09,4.04,4.25,4.57,4.88,0.58,
1,1,2018,8,35,1.35,4.55,4.86,5.18,5.39,0.71,
1,1,2018,8,40,1.63,5.16,5.37,5.68,5.96,0.85,
1,1,2018,8,45,1.96,5.67,5.87,6.22,6.52,1.03,
1,1,2018,8,50,2.25,6.19,6.42,6.84,7.1,1.2,
1,1,2018,8,55,2.47,6.83,7.02,7.36,7.64,1.32,
1,1,2018,9,0,2.94,7.36,7.61,7.93,8.14,1.58,
1,1,2018,9,5,3.37,7.96,8.25,8.44,8.69,1.78,
1,1,2018,9,10,3.81,8.44,9.02,8.92,9.39,2.02,
1,1,2018,9,15,4.32,8.92,9.56,9.67,9.89,2.29,
1,1,2018,9,20,4.8,9.66,10.02,10.14,10.3,2.51,
1,1,2018,9,25,5.3,10.15,10.59,10.66,10.76,2.73,
1,1,2018,9,30,5.79,10.68,5.79,11.14,5.92,2.95,
1,1,2018,9,35,6.26,11.15,11.15,5.92,11.42,3.21,
1,1,2018,9,40,6.76,5.99,12.03,12.06,12.33,3.5,
1,1,2018,9,45,7.28,12.08,9.21,9.32,9.43,3.83,
1,1,2018,9,50,7.84,9.29,13.04,13.11,13.18,4.16,
1,1,2018,9,55,8.6,13.12,13.42,13.57,13.62,4.6,
1,1,2018,10,0,9.14,13.63,13.81,13.86,14.11,4.86,
1,1,2018,10,5,9.56,13.88,14.21,14.46,14.54,5.15,
1,1,2018,10,10,10.15,14.52,14.74,14.82,15.04,5.48,
1,1,2018,10,15,5.63,14.83,15.15,15.22,15.42,0.0,
1,1,2018,10,20,10.66,15.25,15.43,15.57,15.69,5.57,
1,1,2018,10,25,11.58,15.58,15.77,15.86,16.04,6.23,
1,1,2018,10,30,9.05,15.83,16.38,16.37,16.6,3.22,
1,1,2018,10,35,12.54,16.34,16.47,16.69,16.68,6.75,
1,1,2018,10,40,12.98,16.72,16.68,16.8,16.9,6.94,
1,1,2018,10,45,13.4,16.85,17.01,17.11,17.24,7.22,
1,1,2018,10,50,13.89,17.14,17.43,17.34,17.58,7.45,
1,1,2018,10,55,14.46,17.39,17.67,17.68,17.86,7.62,
1,1,2018,11,0,14.86,17.77,17.9,17.93,18.11,7.78,
1,1,2018,11,5,15.19,18.07,17.95,18.12,18.14,7.98,
1,1,2018,11,10,15.57,18.27,18.12,18.23,18.33,8.14,
1,1,2018,11,15,16.04,18.34,18.44,18.46,18.62,8.42,
1,1,2018,11,20,16.14,18.69,18.33,18.72,18.51,8.46,
1,1,2018,11,25,16.36,18.78,18.21,18.39,18.41,8.58,
1,1,2018,11,30,16.76,18.52,18.29,18.56,18.5,8.79,
1,1,2018,11,35,16.97,18.68,18.36,18.58,18.53,8.99,
1,1,2018,11,40,17.24,18.69,18.05,18.4,18.25,9.07,
1,1,2018,11,45,17.49,18.51,18.35,18.25,18.54,9.24,
1,1,2018,11,50,17.66,18.4,18.16,18.05,18.3,9.31,
1,1,2018,11,55,17.88,18.21,18.52,18.5,18.71,9.33,
1,1,2018,12,0,18.4,18.6,18.05,18.24,18.17,9.54,
1,1,2018,12,5,18.38,18.4,18.56,18.79,18.75,9.39,
1,1,2018,12,10,18.2,18.89,18.48,18.47,18.66,9.33,
1,1,2018,12,15,18.17,18.61,18.32,18.43,18.54,9.35,
1,1,2018,12,20,18.4,18.63,17.4,18.17,17.61,9.45,
1,1,2018,12,25,18.05,18.4,15.81,16.47,15.95,9.26,
1,1,2018,12,30,18.27,16.67,16.08,15.67,16.16,9.42,
1,1,2018,12,35,18.07,15.79,16.69,16.48,16.77,9.32,
1,1,2018,12,40,18.37,16.57,17.38,17.13,17.52,9.48,
1,1,2018,12,45,17.84,17.25,18.44,18.42,18.55,9.25,
1,1,2018,12,50,18.44,18.45,17.8,18.01,17.94,9.52,
1,1,2018,12,55,18.47,18.2,20.42,18.61,20.57,9.51,
1,1,2018,13,0,18.41,18.7,21.86,21.83,22.07,9.4,
1,1,2018,13,5,17.52,21.93,17.45,20.02,17.74,8.91,
1,1,2018,13,10,15.84,20.36,19.48,17.22,19.55,8.12,
1,1,2018,13,15,16.01,17.35,20.88,20.92,21.08,8.23,
1,1,2018,13,20,16.61,21.09,18.99,19.93,19.28,8.55,
1,1,2018,13,25,17.36,20.17,17.07,18.01,17.22,8.85,
1,1,2018,13,30,18.48,18.27,19.36,17.86,19.57,9.46,
1,1,2018,13,35,17.79,17.98,18.81,19.99,19.02,9.12,
1,1,2018,13,40,20.19,20.19,15.79,16.99,15.88,10.39,
1,1,2018,13,45,21.75,17.19,15.03,15.04,15.11,11.27,
1,1,2018,13,50,17.6,15.22,14.63,14.61,14.73,9.13,
1,1,2018,13,55,19.29,14.84,15.59,15.27,15.73,10.04,
1,1,2018,14,0,20.83,15.4,15.58,15.56,15.71,10.82,
1,1,2018,14,5,19.13,15.8,17.21,16.48,17.3,9.77,
1,1,2018,14,10,17.1,16.61,17.26,17.57,17.39,8.81,
1,1,2018,14,15,19.21,17.85,16.59,16.74,16.83,9.82,
1,1,2018,14,20,18.6,17.03,16.32,16.25,16.48,9.58,
1,1,2018,14,25,15.68,16.56,15.79,15.76,15.93,8.08,
1,1,2018,14,30,14.94,16.13,15.76,15.71,15.87,7.71,
1,1,2018,14,35,14.6,16.09,16.15,15.6,16.19,7.48,
1,1,2018,14,40,15.54,15.98,15.01,15.47,15.18,7.93,
1,1,2018,14,45,15.54,16.03,14.86,14.14,14.96,7.95,
1,1,2018,14,50,17.13,14.6,15.0,15.05,15.11,8.76,
1,1,2018,14,55,17.27,15.5,14.08,14.06,14.21,8.83,
1,1,2018,15,0,16.67,14.64,13.87,13.51,14.02,8.51,
1,1,2018,15,5,16.24,14.06,13.83,13.6,14.0,8.33,
1,1,2018,15,10,15.55,14.13,13.46,13.26,13.56,8.04,
1,1,2018,15,15,15.58,13.79,12.71,12.91,12.87,8.05,
1,1,2018,15,20,15.97,13.46,11.92,11.71,12.05,8.26,
1,1,2018,15,25,15.02,12.23,11.2,11.04,11.32,7.74,
1,1,2018,15,30,14.7,11.64,10.78,10.46,10.86,7.62,
1,1,2018,15,35,14.95,11.08,10.35,9.82,10.44,7.76,
1,1,2018,15,40,14.05,10.43,10.47,10.11,10.51,7.21,
1,1,2018,15,45,13.9,10.77,9.18,9.28,9.28,7.13,
1,1,2018,15,50,13.83,9.98,8.06,8.04,8.14,7.09,
1,1,2018,15,55,13.42,8.65,7.65,7.34,7.72,6.89,
1,1,2018,16,0,12.76,7.9,6.89,6.76,6.96,6.51,
1,1,2018,16,5,11.83,7.35,6.4,6.1,6.46,6.11,
1,1,2018,16,10,11.11,6.64,6.34,5.85,6.4,5.74,
1,1,2018,16,15,10.79,6.42,5.57,5.53,5.66,5.56,
1,1,2018,16,20,10.27,6.13,4.95,4.67,4.95,5.33,
1,1,2018,16,25,10.31,5.24,4.49,4.18,4.4,5.35,
1,1,2018,16,30,9.09,4.83,3.65,3.54,3.5,4.65,
1,1,2018,16,35,7.92,4.06,2.98,2.82,2.87,4.01,
