Day,Month,Year,Hour,Minute,Acedamic_Eco_1,Library_Eco_1,Acedamic_Eco_2,Library_Eco_2,Acedamic_Eco_3,l_Acedamic_Symo,
1,10,2017,5,50,0.0,0.0,0.0,0.0,0.0,0.0,
1,10,2017,5,55,0.0,0.0,0.0,0.0,0.0,0.0,
1,10,2017,6,0,0.0,0.05,0.0,0.04,0.0,0.0,
1,10,2017,6,5,0.0,0.18,0.0,0.17,0.0,0.0,
1,10,2017,6,10,0.0,0.31,0.0,0.31,0.0,0.0,
1,10,2017,6,15,0.07,0.49,0.07,0.49,0.11,0.06,
1,10,2017,6,20,0.21,0.69,0.21,0.69,0.24,0.12,
1,10,2017,6,25,0.35,0.94,0.34,0.93,0.38,0.2,
1,10,2017,6,30,0.49,1.25,0.47,1.23,0.54,0.3,
1,10,2017,6,35,0.65,1.61,0.62,1.58,0.73,0.4,
1,10,2017,6,40,0.81,2.01,0.77,1.98,0.96,0.53,
1,10,2017,6,45,0.98,2.43,0.93,2.42,1.24,0.67,
1,10,2017,6,50,1.15,2.92,1.08,2.96,1.55,0.82,
1,10,2017,6,55,1.32,3.49,1.25,3.55,1.86,1.0,
1,10,2017,7,0,1.5,4.03,1.53,4.09,2.22,1.19,
1,10,2017,7,5,1.98,4.67,1.86,4.71,2.64,1.4,
1,10,2017,7,10,2.44,5.19,2.23,5.23,3.04,1.61,
1,10,2017,7,15,2.78,5.83,3.17,5.82,3.69,1.83,
1,10,2017,7,20,3.21,6.47,4.02,6.47,4.39,2.1,
1,10,2017,7,25,3.89,7.03,4.78,7.0,4.99,2.5,
1,10,2017,7,30,4.75,7.69,5.59,7.67,5.7,2.91,
1,10,2017,7,35,5.44,8.22,6.35,8.23,6.37,3.29,
1,10,2017,7,40,6.08,8.83,7.03,8.81,7.02,3.66,
1,10,2017,7,45,6.65,9.51,7.64,9.45,7.65,4.0,
1,10,2017,7,50,7.4,9.91,8.21,9.89,8.27,4.33,
1,10,2017,7,55,8.13,10.52,8.8,10.48,8.89,4.63,
1,10,2017,8,0,8.83,10.99,9.41,10.97,9.52,4.92,
1,10,2017,8,5,9.47,11.41,9.89,11.44,10.03,5.17,
1,10,2017,8,10,9.97,12.13,10.43,12.13,10.59,5.46,
1,10,2017,8,15,10.45,12.64,10.9,12.61,11.09,5.69,
1,10,2017,8,20,10.99,13.35,11.43,13.36,11.61,5.95,
1,10,2017,8,25,11.68,13.82,12.1,13.81,12.24,6.27,
1,10,2017,8,30,12.51,14.34,12.84,14.23,12.99,6.68,
1,10,2017,8,35,12.91,14.76,13.25,14.73,13.39,6.83,
1,10,2017,8,40,13.46,15.07,13.71,15.11,13.85,7.11,
1,10,2017,8,45,14.12,15.65,14.26,15.66,14.39,7.37,
1,10,2017,8,50,14.54,16.07,14.68,16.06,14.82,7.56,
1,10,2017,8,55,15.0,16.52,15.2,16.54,15.28,7.82,
1,10,2017,9,0,15.42,16.89,15.54,16.89,15.65,8.0,
1,10,2017,9,5,15.9,17.08,16.01,17.06,16.09,8.25,
1,10,2017,9,10,16.23,17.68,16.32,17.6,16.45,8.4,
1,10,2017,9,15,16.54,17.88,16.68,17.87,16.78,8.57,
1,10,2017,9,20,16.93,17.85,17.09,17.91,17.17,8.76,
1,10,2017,9,25,17.38,18.16,17.48,18.27,17.57,9.0,
1,10,2017,9,30,17.66,18.88,17.7,18.93,17.79,9.08,
1,10,2017,9,35,17.76,19.61,17.83,19.66,17.89,9.14,
1,10,2017,9,40,18.39,20.03,18.45,20.04,18.5,9.46,
1,10,2017,9,45,18.97,20.6,19.06,20.59,19.09,9.73,
1,10,2017,9,50,19.5,21.26,19.57,21.17,19.6,9.99,
1,10,2017,9,55,19.79,21.25,19.84,21.24,19.88,10.16,
1,10,2017,10,0,20.57,21.82,20.6,21.74,20.65,10.58,
1,10,2017,10,5,20.97,22.03,21.01,21.93,21.05,10.82,
1,10,2017,10,10,21.07,22.15,21.15,22.1,21.21,10.84,
1,10,2017,10,15,21.44,22.43,21.51,22.27,21.57,11.05,
1,10,2017,10,20,21.75,22.39,21.78,22.2,21.84,11.16,
1,10,2017,10,25,21.99,22.49,21.98,22.31,22.02,11.29,
1,10,2017,10,30,22.29,22.51,22.26,22.41,22.29,11.4,
1,10,2017,10,35,22.41,22.82,22.36,22.76,22.41,11.48,
1,10,2017,10,40,22.36,23.15,22.33,23.02,22.37,11.43,
1,10,2017,10,45,22.62,23.24,22.53,23.1,22.57,11.6,
1,10,2017,10,50,22.8,23.72,22.47,22.81,22.79,11.65,
1,10,2017,10,55,23.59,23.62,23.5,23.51,23.57,12.05,
1,10,2017,11,0,23.27,23.35,23.27,22.42,23.3,11.85,
1,10,2017,11,5,23.52,23.57,23.51,23.42,23.54,12.02,
1,10,2017,11,10,23.29,23.37,23.2,23.22,23.23,11.89,
1,10,2017,11,15,23.22,23.49,23.07,23.27,23.09,11.87,
1,10,2017,11,20,23.37,23.64,23.36,23.38,23.42,11.96,
1,10,2017,11,25,23.19,23.4,23.27,23.08,23.37,11.9,
1,10,2017,11,30,23.3,23.7,23.42,23.37,23.55,11.98,
1,10,2017,11,35,23.32,23.1,23.52,22.74,23.63,11.98,
1,10,2017,11,40,23.3,23.9,23.48,23.54,23.62,12.0,
1,10,2017,11,45,23.33,23.63,23.4,23.47,23.53,12.02,
1,10,2017,11,50,23.45,23.95,23.42,23.79,23.44,12.08,
1,10,2017,11,55,23.81,24.03,23.52,23.78,23.88,12.21,
1,10,2017,12,0,23.49,23.77,23.54,23.74,23.58,12.1,
1,10,2017,12,5,24.25,24.35,24.37,24.23,24.46,12.45,
1,10,2017,12,10,24.04,24.11,24.14,24.01,24.15,12.32,
1,10,2017,12,15,24.32,24.34,24.06,24.26,24.51,12.47,
