,Date,Time,solar_output,temperature,humidity,wind_speed,visibility,serial,month,Day,TimeStamp
0,01-10-16,6:00,0.0,27.0,74.0,0.0,4.0,1,10,1,2016-01-10 06:00:00
1,01-10-16,6:05,0.0,27.0,74.0,0.56,4.0,2,10,1,2016-01-10 06:05:00
2,01-10-16,6:10,0.0,27.0,74.0,1.0,4.0,3,10,1,2016-01-10 06:10:00
3,01-10-16,6:15,0.0,27.0,74.0,1.33,4.0,4,10,1,2016-01-10 06:15:00
4,01-10-16,6:20,0.0,27.0,74.0,1.57,4.0,5,10,1,2016-01-10 06:20:00
5,01-10-16,6:25,0.0,27.0,74.0,1.75,4.0,6,10,1,2016-01-10 06:25:00
6,01-10-16,6:30,0.14215999999999998,27.0,74.0,1.9,4.0,7,10,1,2016-01-10 06:30:00
7,01-10-16,6:35,0.30868,27.0,74.0,1.81,4.0,8,10,1,2016-01-10 06:35:00
8,01-10-16,6:40,0.46907,27.0,74.0,1.38,4.0,9,10,1,2016-01-10 06:40:00
9,01-10-16,6:45,0.66269,27.0,74.0,0.81,4.0,10,10,1,2016-01-10 06:45:00
10,01-10-16,6:50,0.85561,27.0,74.0,0.27,4.0,11,10,1,2016-01-10 06:50:00
11,01-10-16,6:55,1.09404,27.0,74.0,0.06,4.0,12,10,1,2016-01-10 06:55:00
12,01-10-16,7:00,1.3468,27.0,74.0,0.0,4.0,13,10,1,2016-01-10 07:00:00
13,01-10-16,7:05,1.54714,27.1,73.76,0.72,4.0,14,10,1,2016-01-10 07:05:00
14,01-10-16,7:10,1.7986900000000001,27.2,73.14,2.05,4.0,15,10,1,2016-01-10 07:10:00
15,01-10-16,7:15,2.30445,27.4,72.3,3.69,4.0,16,10,1,2016-01-10 07:15:00
16,01-10-16,7:20,2.91701,27.7,71.39,5.33,4.0,17,10,1,2016-01-10 07:20:00
17,01-10-16,7:25,3.04696,27.9,70.57,6.67,4.0,18,10,1,2016-01-10 07:25:00
18,01-10-16,7:30,3.37716,28.0,70.0,7.4,4.0,19,10,1,2016-01-10 07:30:00
19,01-10-16,7:35,3.81768,28.0,69.77,7.72,4.0,20,10,1,2016-01-10 07:35:00
20,01-10-16,7:40,4.47991,28.0,69.79,8.05,4.0,21,10,1,2016-01-10 07:40:00
21,01-10-16,7:45,4.89939,27.9,69.95,8.36,4.0,22,10,1,2016-01-10 07:45:00
22,01-10-16,7:50,5.36819,27.9,70.12,8.68,4.0,23,10,1,2016-01-10 07:50:00
23,01-10-16,7:55,6.05133,27.9,70.18,8.99,4.0,24,10,1,2016-01-10 07:55:00
24,01-10-16,8:00,5.67044,28.0,70.0,9.3,4.0,25,10,1,2016-01-10 08:00:00
25,01-10-16,8:05,6.07744,28.2,69.4,9.61,4.0,26,10,1,2016-01-10 08:05:00
26,01-10-16,8:10,7.6133,28.3,68.41,9.91,4.0,27,10,1,2016-01-10 08:10:00
27,01-10-16,8:15,8.03786,28.5,67.18,10.22,4.0,28,10,1,2016-01-10 08:15:00
28,01-10-16,8:20,8.78613,28.7,65.92,10.52,4.0,29,10,1,2016-01-10 08:20:00
29,01-10-16,8:25,9.27868,28.8,64.8,10.81,4.0,30,10,1,2016-01-10 08:25:00
30,01-10-16,8:30,10.01571,29.0,64.0,11.1,4.0,31,10,1,2016-01-10 08:30:00
31,01-10-16,8:35,10.35852,29.2,63.79,10.98,4.0,32,10,1,2016-01-10 08:35:00
32,01-10-16,8:40,10.76014,29.3,64.15,10.26,4.0,33,10,1,2016-01-10 08:40:00
