Date,Time,solar_output,temperature,humidity,wind_speed,visibility,serial,TimeStamp,month,Day
01-10-16,6:00,0.0,27.0,74.0,0.0,4.0,1,2016-01-10 06:00:00,10,1
01-10-16,6:30,0.14215999999999998,27.0,74.0,1.9,4.0,2,2016-01-10 06:30:00,10,1
01-10-16,7:00,1.3468,27.0,74.0,0.0,4.0,3,2016-01-10 07:00:00,10,1
01-10-16,7:30,3.37716,28.0,70.0,7.4,4.0,4,2016-01-10 07:30:00,10,1
01-10-16,8:00,5.67044,28.0,70.0,9.3,4.0,5,2016-01-10 08:00:00,10,1
01-10-16,8:30,10.01571,29.0,64.0,11.1,4.0,6,2016-01-10 08:30:00,10,1
01-10-16,9:00,12.65927,30.0,66.0,7.4,4.0,7,2016-01-10 09:00:00,10,1
01-10-16,9:30,16.97565,32.0,55.0,9.3,4.0,8,2016-01-10 09:30:00,10,1
01-10-16,10:00,19.86385,31.0,62.0,11.1,4.0,9,2016-01-10 10:00:00,10,1
01-10-16,10:30,8.71568,32.0,55.0,14.8,4.0,10,2016-01-10 10:30:00,10,1
01-10-16,11:00,22.19419,33.0,55.0,13.0,5.0,11,2016-01-10 11:00:00,10,1
01-10-16,11:30,10.32778,33.0,46.0,11.1,4.0,12,2016-01-10 11:30:00,10,1
01-10-16,12:00,7.15848,34.0,52.0,13.0,5.0,13,2016-01-10 12:00:00,10,1
01-10-16,12:30,8.13343,34.0,52.0,14.8,5.0,14,2016-01-10 12:30:00,10,1
01-10-16,13:00,20.84757,34.0,49.0,14.8,5.0,15,2016-01-10 13:00:00,10,1
01-10-16,13:30,15.48978,34.4,47.85,14.1,5.0,16,2016-01-10 13:30:00,10,1
01-10-16,14:00,22.223000000000003,35.0,47.0,13.0,5.0,17,2016-01-10 14:00:00,10,1
01-10-16,14:30,22.23139,35.0,34.0,9.3,4.0,18,2016-01-10 14:30:00,10,1
01-10-16,15:00,6.21191,34.0,42.62,14.8,5.0,19,2016-01-10 15:00:00,10,1
01-10-16,15:30,6.84703,33.0,52.0,18.5,5.0,20,2016-01-10 15:30:00,10,1
01-10-16,16:00,6.79542,34.0,52.0,11.1,5.0,21,2016-01-10 16:00:00,10,1
01-10-16,16:30,9.59296,34.0,49.0,13.0,5.0,22,2016-01-10 16:30:00,10,1
01-10-16,17:00,0.72153,33.0,52.0,13.0,5.0,23,2016-01-10 17:00:00,10,1
01-10-16,17:30,0.30744,32.0,49.0,3.7,4.0,24,2016-01-10 17:30:00,10,1
01-10-16,18:00,0.10762999999999999,32.0,55.0,5.6,5.0,25,2016-01-10 18:00:00,10,1
02-10-16,6:00,0.0,28.0,70.0,5.6,4.0,1,2016-02-10 06:00:00,10,2
02-10-16,6:30,0.0,28.0,74.0,5.6,4.0,2,2016-02-10 06:30:00,10,2
02-10-16,7:00,1.19255,28.0,70.0,7.4,4.0,3,2016-02-10 07:00:00,10,2
02-10-16,7:30,2.4142099999999997,28.0,70.0,7.4,4.0,4,2016-02-10 07:30:00,10,2
02-10-16,8:00,3.2901199999999995,29.0,70.0,11.1,5.0,5,2016-02-10 08:00:00,10,2
02-10-16,8:30,8.806560000000001,29.0,66.0,11.1,4.0,6,2016-02-10 08:30:00,10,2
02-10-16,9:00,14.76729,30.0,66.0,13.0,5.0,7,2016-02-10 09:00:00,10,2
02-10-16,9:30,18.410320000000002,32.0,62.0,13.0,6.0,8,2016-02-10 09:30:00,10,2
02-10-16,10:00,16.344,32.0,62.0,14.8,6.0,9,2016-02-10 10:00:00,10,2
02-10-16,10:30,21.664270000000002,33.0,59.0,13.0,6.0,10,2016-02-10 10:30:00,10,2
02-10-16,11:00,13.629579999999999,32.0,59.0,18.5,6.0,11,2016-02-10 11:00:00,10,2
02-10-16,11:30,19.37715,34.0,46.0,14.8,4.0,12,2016-02-10 11:30:00,10,2
02-10-16,12:00,23.68196,34.0,52.0,14.8,6.0,13,2016-02-10 12:00:00,10,2
02-10-16,12:30,25.670289999999998,34.0,52.0,14.8,6.0,14,2016-02-10 12:30:00,10,2
02-10-16,13:00,23.34027,34.0,52.0,11.1,6.0,15,2016-02-10 13:00:00,10,2
02-10-16,13:30,18.437079999999998,35.0,47.0,14.8,6.0,16,2016-02-10 13:30:00,10,2
02-10-16,14:00,6.42326,35.0,44.0,14.8,6.0,17,2016-02-10 14:00:00,10,2
02-10-16,14:30,18.2459,35.0,42.0,9.3,4.0,18,2016-02-10 14:30:00,10,2
02-10-16,15:00,7.6379,36.0,44.0,11.1,6.0,19,2016-02-10 15:00:00,10,2
02-10-16,15:30,16.28581,35.8,45.62,11.1,6.0,20,2016-02-10 15:30:00,10,2
02-10-16,16:00,13.787679999999998,35.0,47.0,11.1,6.0,21,2016-02-10 16:00:00,10,2
02-10-16,16:30,1.8399599999999998,34.0,46.0,11.1,6.0,22,2016-02-10 16:30:00,10,2
02-10-16,17:00,0.87808,33.0,49.0,7.4,6.0,23,2016-02-10 17:00:00,10,2
02-10-16,17:30,0.67586,32.0,53.0,3.7,4.0,24,2016-02-10 17:30:00,10,2
02-10-16,18:00,0.16824,33.0,52.0,3.7,6.0,25,2016-02-10 18:00:00,10,2
03-10-16,6:00,0.0,28.0,74.0,3.7,5.0,1,2016-03-10 06:00:00,10,3
03-10-16,6:30,0.1442,28.0,74.0,3.7,5.0,2,2016-03-10 06:30:00,10,3
03-10-16,7:00,1.44897,28.0,74.0,0.0,5.0,3,2016-03-10 07:00:00,10,3
03-10-16,7:30,3.77936,29.0,70.0,7.4,5.0,4,2016-03-10 07:30:00,10,3
03-10-16,8:00,7.583310000000001,29.4,66.35,9.3,5.0,5,2016-03-10 08:00:00,10,3
03-10-16,8:30,11.03492,30.0,63.0,5.6,4.0,6,2016-03-10 08:30:00,10,3
03-10-16,9:00,8.2105,31.0,66.0,9.3,5.0,7,2016-03-10 09:00:00,10,3
03-10-16,9:30,16.679479999999998,32.0,59.0,9.3,5.0,8,2016-03-10 09:30:00,10,3
03-10-16,10:00,19.001479999999997,32.0,59.0,9.3,5.0,9,2016-03-10 10:00:00,10,3
03-10-16,10:30,20.23046,33.0,55.0,9.3,5.0,10,2016-03-10 10:30:00,10,3
03-10-16,11:00,23.34715,33.0,55.0,11.1,5.0,11,2016-03-10 11:00:00,10,3
03-10-16,11:30,12.0036,34.0,48.0,5.6,4.0,12,2016-03-10 11:30:00,10,3
03-10-16,12:00,9.86097,34.0,49.0,13.0,5.0,13,2016-03-10 12:00:00,10,3
03-10-16,12:30,14.43445,35.0,47.0,14.8,5.0,14,2016-03-10 12:30:00,10,3
03-10-16,13:00,20.66698,36.0,44.0,16.7,5.0,15,2016-03-10 13:00:00,10,3
03-10-16,13:30,22.92734,36.0,41.0,13.0,5.0,16,2016-03-10 13:30:00,10,3
03-10-16,14:00,16.36072,36.0,41.0,13.0,5.0,17,2016-03-10 14:00:00,10,3
03-10-16,14:30,19.81737,35.0,35.0,14.8,4.0,18,2016-03-10 14:30:00,10,3
03-10-16,15:00,12.07291,36.0,44.0,9.3,6.0,19,2016-03-10 15:00:00,10,3
03-10-16,15:30,13.85211,35.0,47.0,13.0,6.0,20,2016-03-10 15:30:00,10,3
03-10-16,16:00,4.28616,35.0,45.78,10.48,6.0,21,2016-03-10 16:00:00,10,3
03-10-16,16:30,7.47428,35.0,44.0,7.4,6.0,22,2016-03-10 16:30:00,10,3
03-10-16,17:00,3.29414,34.4,44.55,16.67,4.3,23,2016-03-10 17:00:00,10,3
03-10-16,17:30,1.17908,33.0,48.0,25.9,2.0,24,2016-03-10 17:30:00,10,3
03-10-16,18:00,0.17740999999999998,29.0,74.0,11.1,3.0,25,2016-03-10 18:00:00,10,3
04-10-16,6:00,0.0,28.0,74.0,5.6,4.0,1,2016-04-10 06:00:00,10,4
04-10-16,6:30,0.0,27.0,79.0,5.6,4.0,2,2016-04-10 06:30:00,10,4
04-10-16,7:00,1.42985,27.0,79.0,5.6,4.0,3,2016-04-10 07:00:00,10,4
04-10-16,7:30,3.5765,28.0,74.54,7.45,4.0,4,2016-04-10 07:30:00,10,4
04-10-16,8:00,7.6098300000000005,29.0,70.0,9.3,4.0,5,2016-04-10 08:00:00,10,4
04-10-16,8:30,11.86768,30.0,66.0,9.3,4.0,6,2016-04-10 08:30:00,10,4
04-10-16,9:00,13.151029999999999,31.0,66.0,9.3,5.0,7,2016-04-10 09:00:00,10,4
04-10-16,9:30,15.354629999999998,31.0,66.0,7.4,5.0,8,2016-04-10 09:30:00,10,4
04-10-16,10:00,19.9234,33.0,55.0,7.4,5.0,9,2016-04-10 10:00:00,10,4
04-10-16,10:30,21.55428,34.0,52.0,1.9,5.0,10,2016-04-10 10:30:00,10,4
04-10-16,11:00,22.39633,33.0,52.0,7.4,5.0,11,2016-04-10 11:00:00,10,4
04-10-16,11:30,22.84228,34.0,45.0,9.3,4.0,12,2016-04-10 11:30:00,10,4
04-10-16,12:00,22.99645,35.0,49.0,5.6,5.0,13,2016-04-10 12:00:00,10,4
04-10-16,12:30,16.71775,35.0,47.0,7.4,6.0,14,2016-04-10 12:30:00,10,4
04-10-16,13:00,17.69741,35.0,44.0,7.4,6.0,15,2016-04-10 13:00:00,10,4
04-10-16,13:30,20.41509,36.0,41.0,5.6,6.0,16,2016-04-10 13:30:00,10,4
04-10-16,14:00,19.33529,36.0,41.0,7.4,6.0,17,2016-04-10 14:00:00,10,4
04-10-16,14:30,12.94021,35.0,32.0,7.4,4.0,18,2016-04-10 14:30:00,10,4
04-10-16,15:00,16.17521,35.4,35.35,8.35,5.0,19,2016-04-10 15:00:00,10,4
04-10-16,15:30,13.58564,36.0,39.0,9.3,6.0,20,2016-04-10 15:30:00,10,4
04-10-16,16:00,6.33574,36.0,41.0,7.4,6.0,21,2016-04-10 16:00:00,10,4
04-10-16,16:30,2.56058,33.8,46.21,9.12,5.6,22,2016-04-10 16:30:00,10,4
04-10-16,17:00,1.11209,31.0,52.0,11.1,5.0,23,2016-04-10 17:00:00,10,4
04-10-16,17:30,0.46958,30.0,47.0,3.7,4.0,24,2016-04-10 17:30:00,10,4
04-10-16,18:00,0.03804,31.0,58.0,7.4,5.0,25,2016-04-10 18:00:00,10,4
05-10-16,6:00,0.0,26.0,78.0,5.6,5.0,1,2016-05-10 06:00:00,10,5
05-10-16,6:30,0.0,26.0,78.0,9.3,5.0,2,2016-05-10 06:30:00,10,5
05-10-16,7:00,0.49200000000000005,27.0,74.0,3.7,5.0,3,2016-05-10 07:00:00,10,5
05-10-16,7:30,1.75537,27.0,74.0,7.4,5.0,4,2016-05-10 07:30:00,10,5
05-10-16,8:00,4.63457,27.0,72.33,9.17,4.5,5,2016-05-10 08:00:00,10,5
05-10-16,8:30,7.32282,27.0,70.0,11.1,4.0,6,2016-05-10 08:30:00,10,5
05-10-16,9:00,15.6615,28.0,66.0,14.8,5.0,7,2016-05-10 09:00:00,10,5
05-10-16,9:30,9.4409,28.0,66.0,14.8,5.0,8,2016-05-10 09:30:00,10,5
05-10-16,10:00,14.96737,28.0,70.0,13.0,5.0,9,2016-05-10 10:00:00,10,5
05-10-16,10:30,21.74775,29.0,66.0,11.1,5.0,10,2016-05-10 10:30:00,10,5
05-10-16,11:00,23.644560000000002,31.0,62.0,11.1,5.0,11,2016-05-10 11:00:00,10,5
05-10-16,11:30,21.599970000000003,31.0,47.0,3.7,4.0,12,2016-05-10 11:30:00,10,5
05-10-16,12:00,14.46541,30.0,66.0,0.0,4.0,13,2016-05-10 12:00:00,10,5
05-10-16,12:30,2.3241400000000003,27.0,74.0,14.8,3.0,14,2016-05-10 12:30:00,10,5
05-10-16,13:00,0.49022,25.0,89.0,13.0,3.0,15,2016-05-10 13:00:00,10,5
05-10-16,13:30,0.0,24.0,94.0,11.1,1.5,16,2016-05-10 13:30:00,10,5
05-10-16,14:00,0.23321999999999998,24.0,94.0,3.7,1.5,17,2016-05-10 14:00:00,10,5
05-10-16,14:30,0.0,24.0,96.0,3.7,0.5,18,2016-05-10 14:30:00,10,5
