Date,Time,solar_output,temperature,humidity,wind_speed,visibility
01-10-16,6:00,0,27,74,0,4
01-10-16,6:05,0,27,74,0.56,4
01-10-16,6:10,0,27,74,1,4
01-10-16,6:15,0,27,74,1.33,4
01-10-16,6:20,0,27,74,1.57,4
01-10-16,6:25,0,27,74,1.75,4
01-10-16,6:30,0.14216,27,74,1.9,4
01-10-16,6:35,0.30868,27,74,1.81,4
01-10-16,6:40,0.46907,27,74,1.38,4
01-10-16,6:45,0.66269,27,74,0.81,4
01-10-16,6:50,0.85561,27,74,0.27,4
01-10-16,6:55,1.09404,27,74,0.06,4
01-10-16,7:00,1.3468,27,74,0,4
01-10-16,7:05,1.54714,27.1,73.76,0.72,4
01-10-16,7:10,1.79869,27.2,73.14,2.05,4
01-10-16,7:15,2.30445,27.4,72.3,3.69,4
01-10-16,7:20,2.91701,27.7,71.39,5.33,4
01-10-16,7:25,3.04696,27.9,70.57,6.67,4
01-10-16,7:30,3.37716,28,70,7.4,4
01-10-16,7:35,3.81768,28,69.77,7.72,4
01-10-16,7:40,4.47991,28,69.79,8.05,4
01-10-16,7:45,4.89939,27.9,69.95,8.36,4
01-10-16,7:50,5.36819,27.9,70.12,8.68,4
01-10-16,7:55,6.05133,27.9,70.18,8.99,4
01-10-16,8:00,5.67044,28,70,9.3,4
01-10-16,8:05,6.07744,28.2,69.4,9.61,4
01-10-16,8:10,7.6133,28.3,68.41,9.91,4
01-10-16,8:15,8.03786,28.5,67.18,10.22,4
01-10-16,8:20,8.78613,28.7,65.92,10.52,4
01-10-16,8:25,9.27868,28.8,64.8,10.81,4
01-10-16,8:30,10.01571,29,64,11.1,4
01-10-16,8:35,10.35852,29.2,63.79,10.98,4
01-10-16,8:40,10.76014,29.3,64.15,10.26,4
01-10-16,8:45,11.54626,29.5,64.82,9.24,4
01-10-16,8:50,12.14493,29.7,65.52,8.22,4
01-10-16,8:55,12.50772,29.8,66,7.51,4
01-10-16,9:00,12.65927,30,66,7.4,4
01-10-16,9:05,13.32749,30.2,65.01,7.71,4
01-10-16,9:10,13.83847,30.6,63.02,8.02,4
01-10-16,9:15,14.39622,31,60.54,8.35,4
01-10-16,9:20,15.43798,31.4,58.05,8.67,4
01-10-16,9:25,16.34442,31.8,56.04,8.99,4
01-10-16,9:30,16.97565,32,55,9.3,4
01-10-16,9:35,17.0348,32,55.32,9.6,4
01-10-16,9:40,17.60457,31.8,56.7,9.9,4
01-10-16,9:45,18.14277,31.5,58.59,10.2,4
01-10-16,9:50,19.29258,31.2,60.47,10.5,4
01-10-16,9:55,19.40146,31,61.78,10.8,4
01-10-16,10:00,19.86385,31,62,11.1,4
01-10-16,10:05,20.65623,31.2,61.19,11.62,4
01-10-16,10:10,17.92557,31.3,59.93,12.44,4
01-10-16,10:15,19.89255,31.5,58.46,13.37,4
01-10-16,10:20,12.5954,31.7,56.99,14.2,4
01-10-16,10:25,21.48049,31.8,55.76,14.74,4
01-10-16,10:30,8.71568,32,55,14.8,4
01-10-16,10:35,11.68431,32.2,54.75,14.53,4.1
01-10-16,10:40,20.47907,32.3,54.81,14.25,4.2
01-10-16,10:45,20.82075,32.5,55.02,13.94,4.5
01-10-16,10:50,21.70078,32.7,55.22,13.63,4.7
01-10-16,10:55,20.44552,32.8,55.27,13.31,4.9
01-10-16,11:00,22.19419,33,55,13,5
01-10-16,11:05,23.96489,33.1,54,12.64,5
01-10-16,11:10,25.48658,33.1,52.24,12.23,4.8
01-10-16,11:15,20.39244,33.1,50.14,11.82,4.5
01-10-16,11:20,24.41635,33,48.12,11.45,4.2
01-10-16,11:25,25.57963,33,46.6,11.2,4
01-10-16,11:30,10.32778,33,46,11.1,4
01-10-16,11:35,23.59222,33.1,46.42,11.2,4.1
01-10-16,11:40,25.3169,33.3,47.48,11.46,4.3
01-10-16,11:45,25.13574,33.6,48.88,11.82,4.5
01-10-16,11:50,22.78454,33.8,50.3,12.24,4.8
01-10-16,11:55,22.67476,33.9,51.44,12.65,4.9
01-10-16,12:00,7.15848,34,52,13,5
01-10-16,12:05,22.53607,34,52.17,13.31,5
