Date,Time,solar_output,temperature,humidity,wind_speed,visibility,serial
01-10-16,6:00,0,27,74,0,4,1
01-10-16,6:30,0.14216,27,74,1.9,4,2
01-10-16,7:00,1.3468,27,74,0,4,3
01-10-16,7:30,3.37716,28,70,7.4,4,4
01-10-16,8:00,5.67044,28,70,9.3,4,5
01-10-16,8:30,10.01571,29,64,11.1,4,6
01-10-16,9:00,12.65927,30,66,7.4,4,7
01-10-16,9:30,16.97565,32,55,9.3,4,8
01-10-16,10:00,19.86385,31,62,11.1,4,9
01-10-16,10:30,8.71568,32,55,14.8,4,10
01-10-16,11:00,22.19419,33,55,13,5,11
01-10-16,11:30,10.32778,33,46,11.1,4,12
01-10-16,12:00,7.15848,34,52,13,5,13
01-10-16,12:30,8.13343,34,52,14.8,5,14
01-10-16,13:00,20.84757,34,49,14.8,5,15
01-10-16,13:30,15.48978,34.4,47.85,14.1,5,16
01-10-16,14:00,22.223,35,47,13,5,17
01-10-16,14:30,22.23139,35,34,9.3,4,18
01-10-16,15:00,6.21191,34,42.62,14.8,5,19
01-10-16,15:30,6.84703,33,52,18.5,5,20
01-10-16,16:00,6.79542,34,52,11.1,5,21
01-10-16,16:30,9.59296,34,49,13,5,22
01-10-16,17:00,0.72153,33,52,13,5,23
01-10-16,17:30,0.30744,32,49,3.7,4,24
01-10-16,18:00,0.10763,32,55,5.6,5,25
02-10-16,6:00,0,28,70,5.6,4,1
02-10-16,6:30,0,28,74,5.6,4,2
02-10-16,7:00,1.19255,28,70,7.4,4,3
02-10-16,7:30,2.41421,28,70,7.4,4,4
02-10-16,8:00,3.29012,29,70,11.1,5,5
02-10-16,8:30,8.80656,29,66,11.1,4,6
02-10-16,9:00,14.76729,30,66,13,5,7
02-10-16,9:30,18.41032,32,62,13,6,8
02-10-16,10:00,16.344,32,62,14.8,6,9
02-10-16,10:30,21.66427,33,59,13,6,10
02-10-16,11:00,13.62958,32,59,18.5,6,11
02-10-16,11:30,19.37715,34,46,14.8,4,12
02-10-16,12:00,23.68196,34,52,14.8,6,13
02-10-16,12:30,25.67029,34,52,14.8,6,14
02-10-16,13:00,23.34027,34,52,11.1,6,15
02-10-16,13:30,18.43708,35,47,14.8,6,16
02-10-16,14:00,6.42326,35,44,14.8,6,17
02-10-16,14:30,18.2459,35,42,9.3,4,18
02-10-16,15:00,7.6379,36,44,11.1,6,19
02-10-16,15:30,16.28581,35.8,45.62,11.1,6,20
02-10-16,16:00,13.78768,35,47,11.1,6,21
02-10-16,16:30,1.83996,34,46,11.1,6,22
02-10-16,17:00,0.87808,33,49,7.4,6,23
02-10-16,17:30,0.67586,32,53,3.7,4,24
02-10-16,18:00,0.16824,33,52,3.7,6,25
03-10-16,6:00,0,28,74,3.7,5,1
03-10-16,6:30,0.1442,28,74,3.7,5,2
03-10-16,7:00,1.44897,28,74,0,5,3
03-10-16,7:30,3.77936,29,70,7.4,5,4
03-10-16,8:00,7.58331,29.4,66.35,9.3,5,5
03-10-16,8:30,11.03492,30,63,5.6,4,6
03-10-16,9:00,8.2105,31,66,9.3,5,7
03-10-16,9:30,16.67948,32,59,9.3,5,8
03-10-16,10:00,19.00148,32,59,9.3,5,9
03-10-16,10:30,20.23046,33,55,9.3,5,10
03-10-16,11:00,23.34715,33,55,11.1,5,11
03-10-16,11:30,12.0036,34,48,5.6,4,12
03-10-16,12:00,9.86097,34,49,13,5,13
03-10-16,12:30,14.43445,35,47,14.8,5,14
03-10-16,13:00,20.66698,36,44,16.7,5,15
03-10-16,13:30,22.92734,36,41,13,5,16
03-10-16,14:00,16.36072,36,41,13,5,17
03-10-16,14:30,19.81737,35,35,14.8,4,18
03-10-16,15:00,12.07291,36,44,9.3,6,19
03-10-16,15:30,13.85211,35,47,13,6,20
03-10-16,16:00,4.28616,35,45.78,10.48,6,21
03-10-16,16:30,7.47428,35,44,7.4,6,22
03-10-16,17:00,3.29414,34.4,44.55,16.67,4.3,23
03-10-16,17:30,1.17908,33,48,25.9,2,24
03-10-16,18:00,0.17741,29,74,11.1,3,25
04-10-16,6:00,0,28,74,5.6,4,1
04-10-16,6:30,0,27,79,5.6,4,2
04-10-16,7:00,1.42985,27,79,5.6,4,3
04-10-16,7:30,3.5765,28,74.54,7.45,4,4
04-10-16,8:00,7.60983,29,70,9.3,4,5
04-10-16,8:30,11.86768,30,66,9.3,4,6
04-10-16,9:00,13.15103,31,66,9.3,5,7
04-10-16,9:30,15.35463,31,66,7.4,5,8
04-10-16,10:00,19.9234,33,55,7.4,5,9
04-10-16,10:30,21.55428,34,52,1.9,5,10
04-10-16,11:00,22.39633,33,52,7.4,5,11
04-10-16,11:30,22.84228,34,45,9.3,4,12
04-10-16,12:00,22.99645,35,49,5.6,5,13
04-10-16,12:30,16.71775,35,47,7.4,6,14
04-10-16,13:00,17.69741,35,44,7.4,6,15
04-10-16,13:30,20.41509,36,41,5.6,6,16
04-10-16,14:00,19.33529,36,41,7.4,6,17
04-10-16,14:30,12.94021,35,32,7.4,4,18
04-10-16,15:00,16.17521,35.4,35.35,8.35,5,19
04-10-16,15:30,13.58564,36,39,9.3,6,20
04-10-16,16:00,6.33574,36,41,7.4,6,21
04-10-16,16:30,2.56058,33.8,46.21,9.12,5.6,22
