temperature,humidity,wind_speed,visibility
27,74,0,4
27,74,0.56,4
27,74,1,4
27,74,1.33,4
27,74,1.57,4
27,74,1.75,4
27,74,1.9,4
27,74,1.81,4
27,74,1.38,4
27,74,0.81,4
27,74,0.27,4
27,74,0.06,4
27,74,0,4
27.1,73.76,0.72,4
27.2,73.14,2.05,4
27.4,72.3,3.69,4
27.7,71.39,5.33,4
27.9,70.57,6.67,4
28,70,7.4,4
28,69.77,7.72,4
28,69.79,8.05,4
27.9,69.95,8.36,4
27.9,70.12,8.68,4
27.9,70.18,8.99,4
28,70,9.3,4
28.2,69.4,9.61,4
28.3,68.41,9.91,4
28.5,67.18,10.22,4
28.7,65.92,10.52,4
28.8,64.8,10.81,4
29,64,11.1,4
29.2,63.79,10.98,4
29.3,64.15,10.26,4
29.5,64.82,9.24,4
29.7,65.52,8.22,4
29.8,66,7.51,4
30,66,7.4,4
30.2,65.01,7.71,4
30.6,63.02,8.02,4
31,60.54,8.35,4
31.4,58.05,8.67,4
31.8,56.04,8.99,4
32,55,9.3,4
32,55.32,9.6,4
31.8,56.7,9.9,4
31.5,58.59,10.2,4
31.2,60.47,10.5,4
31,61.78,10.8,4
31,62,11.1,4
31.2,61.19,11.62,4
31.3,59.93,12.44,4
31.5,58.46,13.37,4
31.7,56.99,14.2,4
31.8,55.76,14.74,4
32,55,14.8,4
32.2,54.75,14.53,4.1
32.3,54.81,14.25,4.2
32.5,55.02,13.94,4.5
32.7,55.22,13.63,4.7
32.8,55.27,13.31,4.9
33,55,13,5
33.1,54,12.64,5
33.1,52.24,12.23,4.8
33.1,50.14,11.82,4.5
33,48.12,11.45,4.2
33,46.6,11.2,4
33,46,11.1,4
33.1,46.42,11.2,4.1
33.3,47.48,11.46,4.3
33.6,48.88,11.82,4.5
33.8,50.3,12.24,4.8
33.9,51.44,12.65,4.9
34,52,13,5
34,52.17,13.31,5
34,52.31,13.62,5
34,52.41,13.93,5
34,52.41,14.23,5
34,52.28,14.52,5
34,52,14.8,5
34,51.58,15,5
34,51.08,15.07,5
34,50.54,15.05,5
34,50,14.97,5
34,49.47,14.88,5
34,49,14.8,5
34,48.62,14.73,5
34.1,48.34,14.64,5
34.1,48.14,14.53,5
34.2,48.01,14.4,5
34.3,47.92,14.26,5
34.4,47.85,14.1,5
34.5,47.79,13.93,5
34.6,47.73,13.76,5
34.8,47.63,13.57,5
34.8,47.49,13.38,5
34.9,47.29,13.19,5
35,47,13,5
35,45.82,12.55,4.9
35.1,43.37,11.73,4.7
35.1,40.3,10.77,4.5
35.1,37.29,9.89,4.3
35,34.97,9.33,4.1
35,34,9.3,4
34.9,34.28,9.82,4.1
34.8,35.18,10.66,4.3
34.6,36.59,11.7,4.5
34.4,38.38,12.82,4.7
34.2,40.43,13.89,4.9
34,42.62,14.8,5
33.7,44.84,15.57,5
33.5,46.95,16.31,5
33.3,48.84,17,5
33.1,50.4,17.61,5
33,51.49,18.11,5
33,52,18.5,5
33.1,52.17,18.16,5
33.2,52.29,16.82,5
33.5,52.36,14.97,5
